C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
18.43969467,0.823753378,[64],0.200954234,794,32,0.074599996,0.24754491,0.308263473
14.48141178,0.548007406,"[128,128]",0.447140417,778,370,0.235424418,0.248143713,0.308263473
6.093739353,0.001790655,"[64,64,64]",0.018735197,792,263,0.262995086,0.248143713,0.308263473
13.89569283,0.203668167,"[16,16]",0.354852403,766,456,0.323852726,0.247125749,0.30748503
16.12145833,0.012482645,[16],0.24288117,856,439,0.01470523,0.396467066,0.456766467
17.915364,0.241878528,"[16,16,16]",0.525164707,855,413,0.316046799,0.248143713,0.308263473
6.270887099,0.078669586,"[32,32,32]",0.391037784,974,393,0.034422363,0.268323353,0.344251497
7.769318885,0.020773697,"[32,32]",0.502306567,992,353,0.358676826,0.248143713,0.308263473
4.187686209,0.450552739,"[128,128,128]",0.363507599,719,323,0.004216568,0.237964072,0.29005988
0.832398908,0.297634222,"[16,16]",0.115687961,971,109,0.197051802,0.249161677,0.309041916
10.81455192,0.675014132,[128],0.324591139,965,324,0.547208042,0.247125749,0.30748503
11.56640693,0.215821612,"[128,128,128]",0.287732783,868,253,0.168405558,0.249161677,0.309041916
0.589876714,0.859510831,"[32,32]",0.462744074,980,37,0.204973404,0.248143713,0.308263473
1.319982383,0.635329015,"[16,16,16]",0.264289873,801,61,0.159344183,0.249161677,0.309041916
4.598078145,0.243725161,"[64,64,64]",0.495678108,830,332,0.059561356,0.253053892,0.317904192
13.29739516,0.725259155,[32],0.530815715,688,155,0.334830305,0.248143713,0.308263473
8.31131203,0.607123459,"[32,32,32]",0.479259534,866,166,0.244487376,0.249161677,0.309041916
8.678461461,0.251215933,"[32,32]",0.389083038,697,223,0.512004609,0.247125749,0.30748503
11.96301826,0.192810506,"[32,32]",0.252473285,888,160,0.391930802,0.248143713,0.308263473
9.773083584,0.725127385,[32],0.338388978,776,399,0.431008567,0.248143713,0.308263473
9.79835144,0.490337502,"[32,32]",0.315204027,880,356,0.467477222,0.248143713,0.308263473
6.903228651,0.834010364,"[64,64]",0.508309039,665,188,0.12436593,0.248143713,0.308263473
3.610639003,0.245859972,"[128,128]",0.530580283,869,43,0.301569475,0.247125749,0.30748503
19.84482916,0.20354045,"[64,64,64]",0.059453046,836,137,0.431695613,0.248143713,0.308263473
16.40333245,0.942384591,"[128,128,128]",0.349248279,903,418,0.427183873,0.248143713,0.308263473
17.96364794,0.197450073,"[16,16]",0.512195143,939,427,0.200009568,0.249161677,0.309041916
4.793864354,0.295710885,[32],0.182099126,883,367,0.387629888,0.247125749,0.30748503
1.240948682,0.687494622,[64],0.470552087,928,290,0.521903185,0.248143713,0.308263473
12.95507985,0.710721733,[64],0.226020198,935,369,0.269178427,0.248143713,0.308263473
12.29728009,0.831889643,"[64,64,64]",0.208616082,759,38,0.554490882,0.248143713,0.308263473
5.166003695,0.007885167,[32],0.209623432,839,270,0.377003121,0.248143713,0.308263473
5.392183859,0.52874681,"[16,16]",0.113087977,881,336,0.14586278,0.249161677,0.309041916
17.13585122,0.152483131,[32],0.018109031,820,318,0.094431377,0.248143713,0.308263473
5.445779725,0.865168669,[128],0.266705921,811,17,0.457778274,0.248143713,0.308263473
10.6447018,0.921422418,[128],0.515662959,961,211,0.357370246,0.249161677,0.309041916
10.46745766,0.729344551,[16],0.439505746,780,264,0.296307571,0.248143713,0.308263473
10.17229384,0.871018766,"[128,128]",0.255476287,729,45,0.392994409,0.249161677,0.309041916
17.69046247,0.876343646,[32],0.288497698,857,180,0.536784706,0.247125749,0.30748503
20.92925833,0.289151039,[32],0.017551482,932,395,0.364617506,0.248143713,0.308263473
14.49799362,0.036726205,"[16,16,16]",0.340025628,859,228,0.406751748,0.247125749,0.30748503
19.53746996,0.909585186,"[128,128]",0.078833711,883,25,0.091207296,0.249161677,0.309041916
20.45561699,0.843491802,"[64,64]",0.310203138,975,345,0.440660919,0.248143713,0.308263473
19.16299218,0.364700726,"[32,32,32]",0.205535118,817,28,0.436665011,0.249161677,0.309041916
20.44693213,0.065027981,[32],0.420839228,696,485,0.02739384,0.37239521,0.452155689
15.83213973,0.351083564,[64],0.177418332,731,196,0.153370005,0.247125749,0.30748503
17.51849407,0.382308105,[128],0.416490046,756,487,0.075918044,0.247365269,0.307904192
2.607593677,0.995210283,[16],0.317094437,733,56,0.509513874,0.248143713,0.308263473
5.39370999,0.178050669,"[16,16,16]",0.078243785,862,273,0.489024146,0.248143713,0.308263473
0.514562531,0.174639858,[32],0.389365612,960,361,0.214102744,0.248143713,0.308263473
5.519258157,0.685526712,"[16,16]",0.514952179,719,178,0.01938203,0.285329341,0.349820359
16.55202393,0.852385728,[32],0.293823888,833,137,0.030945362,0.348802395,0.425808383
13.33608548,0.465321515,"[32,32,32]",0.302648002,905,123,0.472940683,0.247125749,0.30748503
14.59964354,0.925872986,"[16,16]",0.115824921,677,283,0.138083354,0.248143713,0.308263473
0.466707895,0.627637791,"[32,32]",0.000778851,933,447,0.076927678,0.252814371,0.318083832
3.67022114,0.050485332,[64],0.014922386,974,469,0.189714457,0.247125749,0.30748503
19.81626162,0.390690164,"[64,64,64]",0.300138605,687,353,0.053375119,0.249161677,0.309041916
5.349708035,0.14117346,[64],0.530328002,888,186,0.144947598,0.247125749,0.30748503
14.80110003,0.856373325,[16],0.47273666,898,438,0.176255364,0.249161677,0.309041916
5.936530895,0.084423713,"[32,32,32]",0.467009097,728,32,0.419752054,0.248143713,0.308263473
8.242916454,0.823497814,"[64,64]",0.24775357,874,267,0.104584819,0.248143713,0.308263473
9.108598566,0.477117122,[16],0.45521983,858,53,0.037263733,0.351676647,0.429520958
6.047798784,0.487216651,[128],0.343664449,796,242,0.473305091,0.249161677,0.309041916
18.4710481,0.354974675,[64],0.108518708,914,404,0.518277378,0.248143713,0.308263473
4.790808887,0.147736395,"[32,32]",0.225291495,982,470,0.463691788,0.248143713,0.308263473
8.784007527,0.067283828,"[32,32]",0.26940595,744,108,0.181063221,0.247125749,0.30748503
14.37209709,0.064759565,"[32,32,32]",0.514729144,872,429,0.408982658,0.248143713,0.308263473
20.23238155,0.573555439,"[32,32,32]",0.109218709,740,339,0.349315578,0.248143713,0.308263473
15.50495781,0.488976559,"[16,16,16]",0.223247019,962,284,0.340593678,0.248143713,0.308263473
20.84602187,0.365103245,"[16,16,16]",0.349843394,703,190,0.314528804,0.247125749,0.30748503
6.314897842,0.315784084,"[32,32,32]",0.416886462,985,111,0.509657409,0.247125749,0.30748503
2.40019873,0.931863588,"[64,64,64]",0.342148226,958,21,0.288475849,0.248143713,0.308263473
5.992450837,0.658034745,"[32,32,32]",0.087681669,715,302,0.38905179,0.247125749,0.30748503
14.16151129,0.199768764,"[32,32,32]",0.543067035,922,461,0.374105691,0.248143713,0.308263473
15.82890993,0.770252992,"[128,128,128]",0.075318664,972,92,0.057006441,0.248323353,0.308323353
17.10371051,0.265080008,[128],0.107070797,724,418,0.055250536,0.279341317,0.357904192
19.0494716,0.009078714,"[128,128]",0.229709529,958,71,0.097252044,0.247125749,0.30748503
19.94863174,0.251101523,[32],0.250027292,913,130,0.067665601,0.251137725,0.31257485
3.864545823,0.564112284,"[16,16,16]",0.332308886,968,186,0.132307685,0.247125749,0.30748503
2.672577438,0.785061224,"[16,16]",0.002269109,894,133,0.18126666,0.24748503,0.307904192
20.93488599,0.314654528,[32],0.539549571,989,434,0.268643065,0.247125749,0.30748503
4.277776815,0.11969861,"[128,128]",0.005201212,669,485,0.053787074,0.248203593,0.308323353
21.05287153,0.520001601,[128],0.192928062,982,500,0.437281322,0.247125749,0.30748503
8.23567956,0.290969875,"[64,64,64]",0.341870523,673,347,0.159912564,0.248143713,0.308263473
7.80301211,0.582439461,"[16,16]",0.553766389,829,350,0.349340889,0.248143713,0.308263473
11.86389131,0.659008658,"[16,16]",0.314217686,790,25,0.099873061,0.247125749,0.30748503
19.17250477,0.600494237,"[64,64]",0.232569099,781,80,0.159823273,0.248143713,0.308263473
14.69940372,0.949884584,"[128,128]",0.257787827,758,16,0.364133109,0.247125749,0.30748503
17.45115019,0.338073844,"[16,16]",0.117922515,894,282,0.35640406,0.248143713,0.308263473
5.416520196,0.746766671,[32],0.221623824,910,56,0.003394937,0.384790419,0.444431138
14.68298159,0.978015632,"[64,64,64]",0.283347923,793,131,0.472850832,0.248143713,0.308263473
18.157033,0.130009005,[32],0.10617914,777,123,0.47766732,0.247125749,0.30748503
4.737406809,0.755072111,"[128,128,128]",0.322804971,797,140,0.321949876,0.249161677,0.309041916
8.159542708,0.943922488,"[64,64]",0.463845658,924,479,0.500257585,0.248143713,0.308263473
17.33425548,0.84611313,[128],0.304736418,667,409,0.27044874,0.248143713,0.308263473
1.377230569,0.190606139,"[32,32,32]",0.016884329,784,248,0.376950278,0.248143713,0.308263473
20.03550175,0.156229285,[16],0.500079425,814,29,0.230965927,0.247125749,0.30748503
11.1768258,0.284564883,"[32,32,32]",0.231009593,830,381,0.149571296,0.248143713,0.308263473
2.481763093,0.902796009,"[32,32]",0.301231974,738,117,0.156796677,0.248143713,0.308263473
11.27093014,0.322738013,"[16,16]",0.278111305,779,291,0.01483697,0.284550898,0.341137725
14.88101542,0.300460939,"[64,64,64]",0.454796336,683,265,0.315152032,0.248143713,0.308263473
17.13055947,0.075418299,"[64,64]",0.315089467,899,142,0.474779969,0.248143713,0.308263473
5.085070331,0.295708717,"[32,32]",0.18309972,697,45,0.025199705,0.300718563,0.372934132
5.953421508,0.165774385,[16],0.108316798,712,211,0.154584305,0.248143713,0.308263473
13.14742508,0.915808712,"[128,128]",0.304654302,767,245,0.537111755,0.248143713,0.308263473
7.767775159,0.414032246,"[64,64,64]",0.326294939,952,24,0.359255943,0.249161677,0.309041916
20.46924866,0.385568373,"[128,128]",0.298210602,968,429,0.037790918,0.261736527,0.331976048
11.15333378,0.566533512,"[128,128,128]",0.164950998,898,110,0.24118491,0.248143713,0.308263473
11.91579015,0.143854594,"[32,32,32]",0.323119993,862,432,0.239136092,0.249161677,0.309041916
1.118284609,0.012466545,[16],0.412273486,776,439,0.323018145,0.248143713,0.308263473
18.30347527,0.088864725,"[128,128,128]",0.277560795,705,110,0.506437985,0.249161677,0.309041916
2.570603596,0.823723511,"[16,16,16]",0.362039073,946,397,0.405949864,0.249161677,0.309041916
8.562464269,0.985988266,"[16,16,16]",0.448639476,669,33,0.512674119,0.249221557,0.309041916
5.097665505,0.601538917,"[128,128,128]",0.22285314,954,307,0.028368259,0.284610778,0.366167665
19.46667844,0.998070751,[128],0.051567486,990,349,0.399641467,0.249161677,0.309041916
12.17326265,0.728399461,[32],0.532704793,820,106,0.098425546,0.247125749,0.30748503
15.09627523,0.388868513,"[32,32]",0.541270861,946,443,0.335292881,0.248143713,0.308263473
11.1375047,0.489253335,"[128,128]",0.193239684,978,256,0.192089851,0.248143713,0.308263473
13.87688316,0.889416751,"[128,128]",0.547408584,686,242,0.184806398,0.247125749,0.30748503
5.599398553,0.446934466,"[64,64,64]",0.195149232,731,420,0.158932501,0.247125749,0.30748503
20.04638755,0.31005994,"[16,16,16]",0.272672561,811,120,0.237420964,0.248143713,0.308263473
