Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
i3d3m8uc,15.89576848,0.932873487,"[16,16]",0.272328774,665,413,0.256122833,0.248143713,0.308263473
i3d3m8uc,3.652172989,0.726269545,[128],0.175179691,775,294,0.341144558,0.248143713,0.308263473
i3d3m8uc,17.59852851,0.556455111,"[128,128]",0.289861711,925,142,0.461441206,0.249161677,0.309041916
i3d3m8uc,17.64528683,0.812891723,"[64,64]",0.477021973,945,217,0.551992313,0.248143713,0.308263473
i3d3m8uc,19.82877204,0.242023666,[32],0.079292367,786,464,0.014339492,0.270598802,0.326167665
i3d3m8uc,12.99528315,0.824198434,"[128,128]",0.093132479,981,156,0.161586062,0.248143713,0.308263473
i3d3m8uc,3.089649636,0.381294937,"[32,32]",0.299891447,779,332,0.252843987,0.248143713,0.308263473
i3d3m8uc,13.43262138,0.634347713,"[32,32,32]",0.169363752,978,218,0.389745531,0.247125749,0.30748503
i3d3m8uc,14.78330786,0.839012185,[128],0.239430998,851,459,0.44409325,0.247125749,0.30748503
i3d3m8uc,15.5780404,0.632062979,[128],0.045559424,833,304,0.506027227,0.248143713,0.308263473
i3d3m8uc,3.60756581,0.267354302,"[32,32,32]",0.477124533,702,93,0.273453075,0.248143713,0.308263473
i3d3m8uc,6.355125725,0.46642785,"[128,128,128]",0.551810968,769,264,0.019729876,0.232994012,0.275868263
i3d3m8uc,20.58195974,0.761626362,[128],0.06041356,887,381,0.357697612,0.248143713,0.308263473
i3d3m8uc,6.079761852,0.21708776,[128],0.285199394,850,167,0.235506247,0.248143713,0.308263473
i3d3m8uc,16.44447105,0.032564568,"[32,32]",0.139584383,691,83,0.442079536,0.247125749,0.30748503
i3d3m8uc,4.246946111,0.033999652,"[16,16,16]",0.325325601,682,67,0.245478201,0.247125749,0.30748503
i3d3m8uc,21.12146555,0.432783578,"[32,32,32]",0.525103172,668,1,0.333104615,0.247125749,0.30748503
i3d3m8uc,8.390249529,0.36137551,"[128,128]",0.424032586,705,320,0.05769303,0.248203593,0.307784431
i3d3m8uc,15.04168159,0.503110768,"[16,16]",0.415439614,889,182,0.049069244,0.247125749,0.30748503
i3d3m8uc,5.355187827,0.261172114,"[128,128]",0.025396204,952,466,0.449795273,0.247125749,0.30748503
i3d3m8uc,19.4993244,0.611386464,"[16,16]",0.42089791,830,409,0.303898054,0.248143713,0.308263473
i3d3m8uc,17.47857146,0.280873863,[128],0.021398243,768,286,0.322242495,0.248143713,0.308263473
i3d3m8uc,0.510078494,0.79520989,"[128,128,128]",0.261778594,964,181,0.280124211,0.247125749,0.30748503
i3d3m8uc,18.68435354,0.517810468,"[128,128,128]",0.080861654,777,450,0.070694985,0.247125749,0.30748503
i3d3m8uc,12.33457101,0.402808519,"[16,16,16]",0.167964109,951,195,0.545525085,0.249161677,0.309041916
i3d3m8uc,14.15212755,0.087559162,"[128,128]",0.102410619,954,374,0.508948758,0.249161677,0.309041916
i3d3m8uc,1.33967558,0.583480469,"[64,64,64]",0.064439557,755,281,0.166277648,0.248143713,0.308263473
i3d3m8uc,13.09056304,0.842136395,[128],0.471478802,736,400,0.328084887,0.249161677,0.309041916
i3d3m8uc,11.58208905,0.112490743,"[32,32]",0.077518293,757,214,0.362286124,0.248143713,0.308263473
i3d3m8uc,6.228837004,0.983128723,[32],0.429227199,845,194,0.138787767,0.248143713,0.308263473
i3d3m8uc,2.085367541,0.537288348,"[64,64,64]",0.503564737,689,178,0.253552875,0.249161677,0.309041916
i3d3m8uc,20.14649382,0.717382268,"[32,32]",0.146323624,721,432,0.153540186,0.248143713,0.308263473
i3d3m8uc,4.599660108,0.042360243,[16],0.399834744,668,488,0.517776635,0.248143713,0.308263473
