Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
oclmf50y,15.440812050897485,0.8740380456840071,[32],0.2070698188401845,778,364,0.042095969683797835,0.3710778443113773,0.43808383233532927
oclmf50y,14.93682838909558,0.3699570556552799,[32],0.13076689284930876,888,280,0.09549612,0.24814371257485032,0.3082634730538923
oclmf50y,14.20409421215562,0.6070248740775701,[128],0.018346927,775,437,0.4761552587813424,0.24916167664670663,0.30904191616766474
oclmf50y,14.293816326279028,0.043377689,"[16,16]",0.48507324333697754,781,165,0.3293919249515022,0.24712574850299407,0.30748502994011984
oclmf50y,0.6752123475938847,0.15893811445498404,"[128,128]",0.2736869180788398,882,17,0.4015290900362513,0.24712574850299407,0.30748502994011984
oclmf50y,16.87213009193224,0.4125744232324855,"[128,128]",0.3574385470807422,943,474,0.17781467919517732,0.24928143712574857,0.3093413173652696
oclmf50y,0.5245698790346127,0.8272659177410008,[32],0.32797202437188755,707,147,0.4721872054599125,0.24712574850299407,0.30748502994011984
oclmf50y,12.296236452251494,0.7647929500444122,"[16,16]",0.5461129643996396,892,387,0.4545278412635192,0.24814371257485032,0.3082634730538923
oclmf50y,2.5680948311440397,0.032656848768243964,[16],0.32470855433067364,704,123,0.084666374,0.24970059880239528,0.31053892215568873
oclmf50y,10.60137404280671,0.5842627427960937,[128],0.3456063372381025,767,50,0.060218049,0.317065868,0.40383233532934143
oclmf50y,9.110575225226365,0.8491588073274811,"[16,16]",0.27026810778555677,701,347,0.1998251585070124,0.24814371257485032,0.3082634730538923
oclmf50y,18.754394325393683,0.082508799,"[64,64]",0.021543052,699,486,0.4732223970706924,0.24712574850299407,0.30748502994011984
oclmf50y,15.423621606951404,0.20138845808158165,"[64,64,64]",0.16185529481427297,985,260,0.4602262730574342,0.24916167664670663,0.30904191616766474
oclmf50y,11.5899902,0.093667884,"[128,128]",0.084434891,707,365,0.32988890888096395,0.24916167664670663,0.30904191616766474
oclmf50y,3.157186458472238,0.9608159686237572,"[64,64,64]",0.41825937236773625,908,124,0.013453525100820426,0.2904191616766467,0.3588622754491018
oclmf50y,2.624462604809247,0.5563288910656548,[32],0.096720385,700,17,0.058724783,0.32125748502994006,0.4052095808383233
oclmf50y,10.167703188114393,0.30291224502047537,[32],0.5353529156916761,693,369,0.5437472935885952,0.24814371257485035,0.3082634730538923
oclmf50y,14.39572337511582,0.36830496686820047,"[128,128,128]",0.3163065494769843,984,262,0.014739358711007698,0.31958083832335327,0.3779041916167665
oclmf50y,2.6306922991480333,0.012281729895818725,[16],0.41634602381159674,926,17,0.5200974715642326,0.24814371257485032,0.3082634730538923
oclmf50y,20.23830089897714,0.5343946213274965,"[64,64]",0.30192801966319877,887,330,0.2695103804373871,0.24712574850299407,0.30748502994011984
oclmf50y,4.591023864865788,0.8337543804756885,"[16,16,16]",0.15663093075181714,924,421,0.055248386,0.2511377245508982,0.314371257
oclmf50y,13.065244922263268,0.6540274779563006,"[32,32]",0.20892266263441875,880,188,0.113524571,0.24916167664670663,0.30904191616766474
oclmf50y,7.848471482422003,0.6366684949744519,"[16,16]",0.33296059142363044,757,462,0.33339101465504944,0.24916167664670663,0.30904191616766474
oclmf50y,15.343899763000197,0.9493742180346654,"[32,32,32]",0.24261793828395545,749,382,0.11051431218053144,0.24814371257485032,0.3082634730538923
oclmf50y,2.724931960803416,0.13373000814534686,"[16,16]",0.35388929028801785,695,419,0.21091765064083492,0.24814371257485032,0.3082634730538923
oclmf50y,6.1736908934988834,0.9343105186086812,"[128,128]",0.037072783865160934,972,227,0.332144811,0.24814371257485032,0.3082634730538923
oclmf50y,0.965661466,0.33915727343492064,"[32,32,32]",0.019481294201474823,847,361,0.19716233042417583,0.24712574850299407,0.30748502994011984
oclmf50y,4.098625204184613,0.4702532136086766,"[32,32]",0.4753229300105253,849,252,0.34133177690939825,0.24814371257485035,0.3082634730538923
oclmf50y,6.733401239035746,0.9326675292922756,"[32,32]",0.045463224,996,90,0.5286540488444795,0.24916167664670663,0.30904191616766474
oclmf50y,14.743155953965802,0.7294905960486728,"[64,64]",0.3686714949773605,680,257,0.3280424100209036,0.24814371257485035,0.3082634730538923
oclmf50y,13.506863599493906,0.034447324520602944,[64],0.1384256937437548,673,316,0.36298752695728626,0.24916167664670663,0.30904191616766474
