Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
trggoo16,10.132995431063476,0.64198555,"[128,128]",0.30725094762054506,68,412,0.43597357697522054,0.15934782608695652,0.1605483870967742
trggoo16,9.476682446614456,0.4325736199360209,[16],0.3338395039426338,67,367,0.18829810798290225,0.1994492753623188,0.19937096774193544
trggoo16,19.51146645415275,0.3302912231866444,"[64,64]",0.4551577724109369,75,155,0.5302945623739537,0.16927536231884058,0.16819354838709671
trggoo16,10.270543441226918,0.5052102997851031,"[128,128]",0.4127910001252034,72,182,0.5424113412314745,0.16702898550724635,0.1672903225806451
trggoo16,17.68909134403352,0.8285908019109725,"[32,32]",0.23027229216250825,75,415,0.042851147,0.4212536231884058,0.40524193548387094
trggoo16,19.619085002932405,0.294801377,"[64,64]",0.4132148386967451,93,263,0.25014675492275473,0.17541304347826084,0.1728709677419355
trggoo16,3.725275430277568,0.8912689378140671,"[128,128,128]",0.11171320634675327,67,399,0.2897217532302729,0.1661376811594203,0.167258065
trggoo16,9.368084283115229,0.2291084995414781,"[16,16]",0.14688311536286291,79,307,0.3368387514592291,0.15961594202898552,0.16287096774193546
trggoo16,2.025993041274919,0.7361629723212779,"[32,32,32]",0.21673396809191336,84,397,0.373789657,0.18268115942028984,0.1780322580645161
trggoo16,16.814359423802436,0.7563538962053641,"[16,16,16]",0.018006831601956173,88,366,0.12374914,0.17016666666666666,0.17012903225806447
trggoo16,5.067474472894791,0.14972536905253395,"[64,64,64]",0.49891532824247187,80,5,0.4846185822415029,0.1624855072463768,0.1642096774193548
trggoo16,0.962267703,0.529978364,"[16,16,16]",0.5030324671629737,89,337,0.48601464989045584,0.15894927536231884,0.1599193548387097
trggoo16,19.38255339881402,0.14734127004627487,"[128,128]",0.4556700224127495,89,31,0.20356079883855183,0.16829710144927534,0.16864516129032256
trggoo16,11.597411019052982,0.5990820757730205,"[32,32,32]",0.059368919,95,437,0.38646284183932345,0.16829710144927532,0.16811290322580638
trggoo16,18.353831631636364,0.067294932,[32],0.1638239001656312,76,491,0.39953439631078974,0.16515217391304352,0.16624193548387095
trggoo16,8.413552061616311,0.282349978,"[32,32]",0.035694994034368766,85,108,0.29090176130244605,0.16626811594202898,0.16641935483870968
trggoo16,11.14792617380595,0.5483450364361077,"[16,16]",0.27000793742636525,83,378,0.4987070694263959,0.16602898550724637,0.1661290322580645
trggoo16,5.929544434630553,0.867331083,[32],0.4630323942948661,75,414,0.30237413662881235,0.16106521739130436,0.16245161290322577
trggoo16,7.646877941596845,0.7606197675455327,[32],0.3942047754708308,92,321,0.11152550221447016,0.34646376811594193,0.33791935483870966
trggoo16,12.072878166206063,0.8873904582638004,"[16,16]",0.3600977009226449,70,229,0.2441147848344345,0.17431884057971014,0.17275806451612902
trggoo16,21.195428557223146,0.15908728288276042,"[128,128,128]",0.4677089386203323,100,500,0.040704947000266375,0.19760144927536227,0.19772580645161292
trggoo16,15.879709004790206,0.8571347041173508,[64],0.5508927650921229,76,500,0.041395876,0.35986231884057956,0.3523225806451613
trggoo16,20.66605165366629,0.7703102198466537,"[128,128,128]",0.048890919,78,281,0.476660718,0.17742753623188406,0.17512903225806448
trggoo16,13.176830648215272,0.4597069804014918,"[128,128]",0.095172333,77,279,0.084783097,0.17944202898550723,0.17775806451612902
trggoo16,14.308540756710748,0.7335024632875269,[128],0.022705024265945152,96,497,0.3830107154986959,0.1786086956521739,0.1760645161290322
