Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
7wiqce5w,16.407797188461384,0.3439755565798246,"[64,64]",0.4738964542209689,101,175,0.2964188799086537,0.17149275362318842,0.1704032258064516
7wiqce5w,8.978130787895983,0.15823320873368665,"[64,64]",0.29001669737478586,84,477,0.24565495131923537,0.15268115942028987,0.1554193548387097
7wiqce5w,12.637797805703029,0.008473519,"[32,32]",0.11704088981344882,91,177,0.038645532,0.3858623188405798,0.38067741935483873
7wiqce5w,13.23542424991154,0.28348368179333366,"[64,64,64]",0.4792876053247696,76,143,0.21013374346627237,0.17924637681159422,0.1760645161290322
7wiqce5w,16.71186947080892,0.5481646539211795,"[16,16]",0.16997714339871223,76,456,0.059390136162351656,0.1858623188405797,0.18614516129032255
7wiqce5w,10.546627737078351,0.6870097198590397,"[64,64]",0.22958264413179968,78,43,0.084099467,0.17113768115942027,0.1710806451612903
7wiqce5w,19.980403947710073,0.5584079811492588,"[32,32,32]",0.26419657743413444,70,380,0.530966739,0.16513768115942032,0.16583870967741934
7wiqce5w,5.921674428395914,0.7369350481926646,[16],0.2883679235787873,92,203,0.47634744786570626,0.17634782608695648,0.17432258064516123
7wiqce5w,6.027843813,0.27137500713303625,"[128,128,128]",0.20051648819363088,80,454,0.07042359,0.17044202898550723,0.16937096774193544
7wiqce5w,20.94981124021998,0.1107311336831057,[32],0.052065701814193496,92,280,0.2847685213811833,0.16216666666666665,0.16332258064516125
7wiqce5w,7.872276382251791,0.6906041351219948,"[16,16]",0.5549755285791149,91,229,0.3397712759875269,0.160804348,0.1615806451612903
7wiqce5w,17.47022836664979,0.3563364659176689,"[64,64]",0.1780158915776697,92,314,0.36799527593800807,0.1599130434782609,0.1620967741935484
7wiqce5w,3.8477034694782186,0.18812966455468935,[128],0.2240618233938326,92,116,0.5057586089751946,0.16412318840579712,0.16538709677419353
7wiqce5w,8.718692407672153,0.9787639728049335,"[16,16,16]",0.11522795628935896,74,306,0.5471264864142873,0.17946376811594206,0.1765806451612903
7wiqce5w,7.585177318620403,0.2983072335800894,[64],0.33755544812605665,80,287,0.5534974504633894,0.1761521739130435,0.17477419354838705
7wiqce5w,13.222278036539006,0.24998568465192625,"[128,128,128]",0.11061847237003268,97,78,0.5368376195270078,0.17043478260869563,0.1682096774193548
7wiqce5w,8.650973884,0.19200696479371415,[64],0.1806147572679558,75,163,0.2488651553728903,0.1704057971014493,0.16911290322580644
7wiqce5w,4.5189150565213865,0.96065086,"[64,64,64]",0.4149896090770376,93,234,0.2369962479823315,0.1725507246376812,0.17109677419354832
7wiqce5w,1.3515437027210002,0.11436955682484522,"[128,128]",0.3087576125331527,90,58,0.4804478783086265,0.1649782608695652,0.16608064516129029
7wiqce5w,16.90090208460832,0.19015079140496147,[128],0.4098667958376302,97,61,0.20836101610836105,0.1593550724637681,0.16070967741935482
7wiqce5w,14.305266286038066,0.9287592653956422,"[16,16,16]",0.14291274505442403,78,148,0.2976376332289537,0.18759420289855072,0.1833387096774193
7wiqce5w,0.3474233966498536,0.2596303195452657,"[32,32,32]",0.45287339396227777,100,59,0.5014530735502432,0.17275362318840576,0.17046774193548384
7wiqce5w,17.516141742273046,0.010900704957858463,[128],0.008534578,100,426,0.16723378946628134,0.1753405797101449,0.17422580645161287
7wiqce5w,3.801988912832221,0.7247206844143322,"[64,64,64]",0.5123585737808501,98,379,0.001846056,0.15605797101449276,0.15988709677419355
7wiqce5w,4.459317089061245,0.8417529937108011,[128],0.25373487343132667,73,121,0.013271115,0.42534058,0.41877419354838713
7wiqce5w,2.9090802394772965,0.5747721609841222,[64],0.081843794,97,160,0.29053964478735816,0.16792753623188403,0.1666290322580645
7wiqce5w,1.9792891126842764,0.9835246571965696,"[32,32,32]",0.5037895974387301,76,106,0.2537423401575791,0.17554347826086958,0.17459677419354844
7wiqce5w,16.861226601952023,0.9638181204281712,"[128,128]",0.19350303345020492,71,419,0.2969091672161894,0.1697246376811594,0.1696290322580645
7wiqce5w,6.511921227,0.32498940925984476,[32],0.2849060151240455,97,138,0.48312853526377486,0.15878985507246376,0.16138709677419358
7wiqce5w,12.878175026368057,0.6141061640774104,"[64,64]",0.35146420157516933,79,86,0.3613327099308498,0.1762463768115942,0.17427419354838705
7wiqce5w,12.069451945526245,0.6442572677066735,[128],0.081042614,98,206,0.16151035529135355,0.18031159420289855,0.18324193548387097
7wiqce5w,4.966609919638883,0.40743283373424594,"[32,32]",0.4655357888181308,88,437,0.2852235807282704,0.1663913043478261,0.16641935483870968
7wiqce5w,11.775312184765742,0.37976158674406096,[16],0.19221028326923695,97,1,0.4572534056991169,0.173804348,0.1728548387096774
7wiqce5w,18.33751222550192,0.007515423,"[64,64]",0.17610828793084965,84,384,0.036539661,0.27676811594202905,0.27383870967741936
7wiqce5w,10.318690286033188,0.7814705347835583,"[32,32,32]",0.18562566957809823,72,131,0.5031195620413361,0.16945652173913042,0.16856451612903223
7wiqce5w,20.422077290751528,0.7779778360611221,"[128,128,128]",0.4385832410505937,100,446,0.036157158,0.1873478260869565,0.18301612903225803
7wiqce5w,6.375240244481479,0.9786135890676732,[32],0.3697125989091263,83,260,0.1100103070135622,0.2186159420289855,0.2193870967741935
