Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
4h432idp,14.436372661740418,0.3847782949854873,"[128,128,128]",0.5216295955872673,106,141,0.3668348265574594,0.13491176470588237,0.1313502538071066
4h432idp,14.196951501007618,0.7658025785322229,"[16,16]",0.4818910417571178,95,476,0.23696288971580207,0.14820588235294116,0.1468020304568528
4h432idp,4.2130806819192035,0.7627995451273728,[128],0.30414521945906214,94,397,0.030441991827714624,0.25286764705882353,0.23944162436548225
4h432idp,14.472103056448749,0.9663454858153726,"[16,16,16]",0.046335056,108,460,0.5163573170548402,0.1361029411764706,0.1382842639593909
4h432idp,1.9383370660863293,0.7112251480228414,"[32,32,32]",0.15415855676931348,102,376,0.4454327345400508,0.14823529411764705,0.1519898477157361
4h432idp,13.121543723822285,0.5084756431659243,"[128,128]",0.3446945478578369,118,136,0.45575662485286816,0.1375882352941176,0.13426395939086294
4h432idp,15.748295233748662,0.7771106379650101,"[64,64,64]",0.4982851306887533,100,185,0.2387921789676033,0.15070588235294116,0.14886294416243653
4h432idp,14.232279219464369,0.081274696,[16],0.2865285105902375,86,123,0.2823155001035169,0.12595588235294117,0.12713705583756346
4h432idp,5.194126095914951,0.6154059513617731,"[128,128,128]",0.096324803,106,149,0.46399292964926125,0.14118382352941175,0.13916751269035532
4h432idp,10.990142211867276,0.049483561,"[64,64,64]",0.1625680760204228,82,236,0.19927443455940844,0.13226470588235292,0.13317766497461933
4h432idp,8.66936357,0.5867240842535657,"[16,16,16]",0.525562429,87,332,0.054316491,0.13594117647058826,0.13536040609137057
4h432idp,9.037090020062593,0.8559633702631413,"[16,16]",0.49888818685182273,97,168,0.3707743064950429,0.145,0.1439086294416244
4h432idp,21.01259690384595,0.1649599118233288,"[32,32,32]",0.5262999745418405,97,220,0.4159631044714326,0.14222794117647056,0.1430355329949239
4h432idp,1.6240319852250475,0.8658439811206361,"[16,16,16]",0.30099372381035144,96,248,0.27343876565700864,0.1318529411764706,0.13291370558375637
4h432idp,19.857965249296814,0.5613843973811514,"[32,32]",0.1557454980058396,119,464,0.10059440653238742,0.1425367647058824,0.14460913705583756
4h432idp,16.355421812349437,0.3540872378007337,"[32,32,32]",0.2535507690195348,98,181,0.037123554863852104,0.13715441176470589,0.13823350253807107
4h432idp,4.145108918954805,0.10392885013322686,"[32,32]",0.43324800944122527,93,482,0.510422715,0.14525,0.14483248730964468
4h432idp,0.32435557558546796,0.050621608,"[16,16]",0.31087977460936356,95,114,0.3818208797896707,0.14704411764705885,0.14336040609137057
4h432idp,19.006793695648636,0.3561847883021013,"[16,16,16]",0.14036060055333935,119,284,0.21162106795063337,0.14117647058823532,0.1422741116751269
4h432idp,17.326483170388773,0.997432553,"[64,64,64]",0.1653535019527141,115,83,0.091424784,0.1420808823529412,0.14261928934010157
4h432idp,18.71128582441504,0.17831958335619805,[128],0.24352568913816036,94,356,0.5211545369098587,0.1505514705882353,0.15022335025380712
4h432idp,17.195618099615796,0.277474083,"[64,64]",0.3951974424607672,95,72,0.5354699671137534,0.14425000000000002,0.14168527918781726
4h432idp,6.242107977532504,0.2553551033905748,"[64,64]",0.5505405481287773,98,38,0.25579771751332947,0.15025000000000002,0.14968527918781724
4h432idp,4.857952970531749,0.7799201086693023,"[32,32]",0.046885525,106,118,0.41503405108239705,0.13607352941176468,0.13587817258883247
4h432idp,7.101691695529388,0.3041965070510849,"[128,128]",0.16637663786044285,118,378,0.3942790917701092,0.1452794117647059,0.14507614213197967
4h432idp,16.785641335016262,0.8131110467537324,[64],0.374802489,114,446,0.11915569702166244,0.17344117647058824,0.1697969543147208
4h432idp,1.4405932951948153,0.41623494363901536,"[16,16,16]",0.4317519133834845,86,109,0.2757126404823229,0.1437279411764706,0.14303553299492383
4h432idp,19.89287348771379,0.2255670474941492,"[16,16,16]",0.13188640038305657,98,489,0.4712106164806161,0.1552426470588235,0.15371573604060915
4h432idp,8.769887738405224,0.7846288092325059,"[128,128,128]",0.4559904455681916,85,388,0.5267084530566665,0.1347794117647059,0.1337969543147208
4h432idp,9.653074705147048,0.3404485649054616,[16],0.29500227955720243,99,197,0.4053201632914583,0.14931617647058823,0.1466497461928934
4h432idp,10.662943620392182,0.015359075546728494,[128],0.39644530381704296,87,487,0.058572746,0.28498529411764706,0.27050761421319797
4h432idp,9.769537904906135,0.32315990969290764,"[128,128]",0.36148253638449784,119,47,0.03596058,0.23581617647058825,0.2232182741116752
4h432idp,1.859556118999588,0.35473502281723773,[16],0.48383678200038344,110,405,0.5019450233264044,0.13780882352941176,0.13839593908629438
4h432idp,4.612887957363934,0.17703475003887686,[128],0.04550271,80,326,0.40835467717102847,0.1430735294117647,0.14224365482233503
4h432idp,18.401838881956536,0.6369159795798284,[128],0.5085013251871578,103,251,0.5459863944966015,0.1416985294117647,0.14156345177664975
4h432idp,2.7010889551016373,0.24422341992893096,"[16,16,16]",0.35320357111707995,98,370,0.3970409397107022,0.14614705882352944,0.14250761421319796
4h432idp,15.57142953209673,0.3645065289260243,[128],0.4082780216481938,108,83,0.3176302264738933,0.1288235294117647,0.1300812182741117
4h432idp,8.897858238642803,0.6158453753126436,"[16,16]",0.13467560720243338,82,9,0.1479550513110558,0.13922058823529412,0.1387208121827411
4h432idp,12.249005197109629,0.7343676167830021,"[128,128]",0.024391082,88,168,0.45789233336661095,0.12884558823529413,0.1320304568527919
