Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
3dk6iu42,5.506277940095221,0.37854236827016585,"[16,16,16]",0.093245335,103,445,0.33640253121101366,0.141375,0.14516751269035535
3dk6iu42,19.309080538939124,0.9724248676034636,"[64,64]",0.3212760383349201,114,92,0.3131349632708623,0.13690441176470589,0.13778680203045685
3dk6iu42,19.39979914965328,0.9500570541431168,[128],0.034429923,118,277,0.2643093960549018,0.13740441176470589,0.1378984771573604
3dk6iu42,17.94445411079875,0.6460399430501567,[128],0.26273765425919443,86,30,0.15572573768411072,0.13855882352941176,0.13923857868020306
3dk6iu42,5.817555146750993,0.1284036911167229,"[64,64]",0.060051028,93,403,0.3471610133266763,0.14979411764705883,0.1443756345177665
3dk6iu42,4.544465151550118,0.3084997616684329,"[32,32,32]",0.12854642696000212,95,425,0.3985203845118066,0.15378676470588237,0.15229441624365483
3dk6iu42,17.22604535292577,0.7660747634157977,"[16,16]",0.33684942294225095,96,296,0.33518045307002947,0.13597794117647058,0.13699492385786807
3dk6iu42,2.794899295,0.5636731458864345,"[128,128]",0.48186729035605264,117,171,0.34279481602051987,0.14474264705882356,0.1442741116751269
3dk6iu42,6.974772600079899,0.731733914,"[16,16,16]",0.2070613512581492,117,115,0.26433479723463627,0.14875735294117645,0.14771573604060914
3dk6iu42,6.390439262207029,0.37119370793835355,[16],0.23095135645612463,111,54,0.3704722587928254,0.1264705882352941,0.13005076142131983
3dk6iu42,14.427587817863776,0.030479751417512933,"[32,32,32]",0.073899646,102,318,0.188299717,0.141375,0.14175634517766497
3dk6iu42,7.319156163960711,0.23494361307036227,"[32,32]",0.039247937923281295,107,295,0.14534796896359692,0.1421764705882353,0.14056852791878172
3dk6iu42,6.166683564638746,0.38693717191762333,"[128,128]",0.3707942151539908,112,12,0.14913207152076932,0.1450147058823529,0.14392893401015228
3dk6iu42,11.45895426444615,0.7558275907804084,"[128,128,128]",0.022424884220784615,100,38,0.25610723537662444,0.1386176470588235,0.13768527918781726
3dk6iu42,13.649660691957145,0.19361236359192044,"[32,32,32]",0.25424910225823666,93,237,0.2436883245800696,0.1405514705882353,0.14286294416243656
3dk6iu42,11.861761536574862,0.007942686,[16],0.13086356184288866,81,103,0.5196261768082765,0.1283529411764706,0.1294720812182741
3dk6iu42,9.108225887423698,0.30138292029096403,[64],0.45895946471731697,119,15,0.2312370070748765,0.13908823529411765,0.13856852791878174
3dk6iu42,5.230634285252253,0.9794034028599652,[16],0.5178219468841296,100,208,0.5231144708781108,0.15193382352941176,0.15109644670050762
3dk6iu42,5.791528636661065,0.7112423278238027,"[128,128,128]",0.27735720612640347,112,41,0.065344458,0.13426470588235295,0.13763451776649746
3dk6iu42,20.373662194015576,0.3957603490994934,[128],0.044099141,103,404,0.3772576445124272,0.1382794117647059,0.14154314720812183
3dk6iu42,11.850848672067045,0.677647332,"[64,64,64]",0.20410471708057823,101,326,0.4402452963293292,0.15159558823529412,0.15300507614213202
3dk6iu42,17.71434751616297,0.9716567811868068,"[128,128,128]",0.5191145846973654,101,86,0.19221962228853412,0.1521617647058824,0.15037563451776653
3dk6iu42,13.86883971871396,0.048885931686483704,"[16,16,16]",0.23410427160104735,108,160,0.44288380851268583,0.13979411764705882,0.14152284263959392
3dk6iu42,9.577601112707695,0.4577597927126355,[16],0.19462405956873613,90,34,0.35648080717533986,0.13616911764705883,0.13633502538071066
3dk6iu42,14.224426560244018,0.1552386606989938,"[128,128,128]",0.4129666577918392,120,52,0.5537022594982612,0.13978676470588236,0.13868020304568526
3dk6iu42,16.500407592968813,0.7124105867812758,[16],0.3830223016066938,87,126,0.4287756733659751,0.1479411764705882,0.148751269
3dk6iu42,0.219250229,0.6241293584310789,"[32,32,32]",0.33553021725318954,81,246,0.4880522640825528,0.13444852941176472,0.1331878172588833
3dk6iu42,2.3170889536212607,0.7508212403370017,"[128,128,128]",0.28511984350802455,98,78,0.1628344792067732,0.12318382352941178,0.12749238578680205
3dk6iu42,11.20999741185287,0.068938943,"[128,128,128]",0.2944112863680903,117,182,0.529750699,0.14301470588235293,0.14305583756345178
3dk6iu42,15.521392393647112,0.8404964926282286,[128],0.4234375075006277,83,63,0.4312164678846045,0.14916176470588235,0.14615228426395938
3dk6iu42,0.9870655293336276,0.632053104,[32],0.4026240168332184,96,49,0.21171535501259348,0.1454191176470588,0.14416243654822336
3dk6iu42,0.416653336,0.10076922136440752,"[128,128]",0.042645216,118,185,0.058843775,0.13733088235294116,0.13694416243654822
3dk6iu42,1.2901583381100188,0.80289325,"[128,128,128]",0.5087623155596013,101,253,0.1778346629110605,0.12547794117647057,0.1262639593908629
3dk6iu42,20.29462624838011,0.7033795387117224,"[128,128,128]",0.2555395047023471,96,267,0.26568891328653804,0.1463455882352941,0.14487309644670054
3dk6iu42,20.71952985091245,0.8989147137467525,"[16,16,16]",0.008815044,117,227,0.3004248680122316,0.13831617647058822,0.1397969543147208
3dk6iu42,16.97895734416056,0.045804484,"[128,128]",0.19879131072982228,117,46,0.3413356101544537,0.1372794117647059,0.13407106598984772
