Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
2pmommg6,2.9796764807993976,0.12262881167887772,"[128,128]",0.20167372482866353,117,78,0.072781595,0.1291397058823529,0.12985786802030458
2pmommg6,4.863686628541298,0.652161916,"[32,32,32]",0.043477212,113,477,0.080206712,0.1335,0.1346294416243655
2pmommg6,6.906077871272919,0.014372081,[64],0.511811882,80,424,0.12090640531110718,0.14263970588235292,0.1421725888324873
2pmommg6,10.559304078183573,0.29723660573444266,"[16,16,16]",0.555015315,111,306,0.44991866176797674,0.13489705882352945,0.13616243654822335
2pmommg6,20.62325494295844,0.7227611432204968,"[128,128]",0.22438860525010523,80,329,0.041721702245730886,0.14172794117647058,0.1388223350253807
2pmommg6,18.985083688186457,0.35431257950067135,"[16,16,16]",0.3312375333312583,117,480,0.3701328431188078,0.14550000000000002,0.1435736040609137
2pmommg6,10.230710695831794,0.4216653833971541,[16],0.089876724,93,267,0.4635737339962443,0.15401470588235297,0.15371573604060915
2pmommg6,10.999060026094464,0.363987586,"[32,32,32]",0.5079456765356465,117,131,0.033941179,0.14830882352941177,0.14305583756345178
2pmommg6,3.8862181549947383,0.1547667795130058,"[128,128]",0.26495588191225716,108,297,0.021674556,0.18422058823529416,0.17395939086294418
2pmommg6,4.549686172717291,0.5909839777546434,"[32,32]",0.4004920672301847,120,128,0.15159314927478904,0.14226470588235293,0.14099492385786802
2pmommg6,15.418683695352977,0.42351501210409154,[64],0.26085913701475644,108,418,0.099068093,0.1483088235294118,0.14831472081218275
2pmommg6,2.369728754502665,0.111910776,"[128,128,128]",0.35620621380437345,117,439,0.2944832275977155,0.14190441176470586,0.14074111675126905
2pmommg6,18.337288116204444,0.9790187374691984,"[32,32]",0.12303632482657288,100,46,0.12234106115391212,0.13355882352941173,0.13448730964467004
2pmommg6,4.3998121905061955,0.040488544,[128],0.061273323,98,304,0.12035781364369988,0.15105882352941177,0.14907614213197967
2pmommg6,6.927608433102742,0.16830978079805264,[32],0.012011730027368224,84,118,0.2829207141086537,0.1399632352941177,0.13584771573604065
2pmommg6,2.444769873711963,0.043471359,"[32,32,32]",0.3905108533038462,105,222,0.090694097,0.152125,0.15069035532994923
2pmommg6,20.234970116743412,0.6044173990575438,"[16,16,16]",0.4375831509623505,90,489,0.2549304756126244,0.13354411764705884,0.13233502538071065
2pmommg6,16.49513787461309,0.14540091358210136,[64],0.21644633125719215,119,351,0.5436054315156833,0.12848529411764706,0.12678172588832484
2pmommg6,16.770146088135103,0.8481436961306592,"[32,32,32]",0.240839167,80,100,0.3851389920597837,0.13928676470588236,0.14048730964467007
2pmommg6,11.58993663493595,0.071203397,"[128,128,128]",0.019270914768321476,103,176,0.12475226691712175,0.16134558823529413,0.15834517766497463
2pmommg6,2.867561757603797,0.6036517516862014,"[64,64]",0.18995649154381183,118,73,0.030948724,0.14283823529411763,0.13730964467005077
2pmommg6,3.850191522,0.2472506269131593,"[32,32]",0.21386197865328924,114,112,0.5269439490633104,0.1518529411764706,0.1498477157360406
2pmommg6,19.919148014432412,0.877298484,"[16,16,16]",0.2793794070379942,108,301,0.33965237061266784,0.16889705882352946,0.16833502538071063
2pmommg6,2.9723278158165023,0.22503267722964815,"[32,32,32]",0.5102891547991473,87,436,0.2864905698056939,0.1531470588235294,0.15424365482233504
2pmommg6,10.126007018979328,0.0179267,"[128,128]",0.15787529147324728,83,393,0.4156917682559604,0.1563161764705882,0.15554314720812182
2pmommg6,12.45872145770386,0.8377849182538207,"[64,64,64]",0.435895564,84,187,0.4822760247352416,0.14400735294117648,0.14433502538071066
2pmommg6,1.435990372804403,0.27426798587638956,[128],0.40816270613872735,98,108,0.050992758,0.2212941176470589,0.20657868020304565
