Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
a83he8g5,13.005872835674625,0.25575940697226446,[32],0.5034648014628494,110,194,0.3393045025980558,0.5135714285714286,0.5364285714285714
a83he8g5,14.414008254876098,0.7208766470350952,"[16,16,16]",0.5229450792043752,125,304,0.5477200148672373,0.5132142857142857,0.5357142857142856
a83he8g5,8.633756390217087,0.1582811691458639,"[32,32]",0.18974888277757715,123,271,0.514853081,0.5132142857142857,0.5357142857142856
a83he8g5,19.402936729269044,0.2890712430696294,"[128,128]",0.011421945590886532,142,174,0.5127463006357168,0.5132142857142857,0.5357142857142856
a83he8g5,3.4188645304180083,0.84275684,"[128,128,128]",0.3580389178960604,131,217,0.1790066268020481,0.3949999999999999,0.4214285714285714
a83he8g5,2.1277558114842536,0.3237790096628888,"[16,16,16]",0.30417064141304107,104,167,0.20118027161369673,0.5132142857142857,0.5357142857142856
a83he8g5,5.108763821581573,0.2571893646705195,[32],0.5345337508857617,144,95,0.5262560183562074,0.5132142857142857,0.5357142857142856
a83he8g5,13.640682917817164,0.2962604700878752,[16],0.3859795292985478,131,60,0.44018527709480854,0.5132142857142857,0.5357142857142856
a83he8g5,19.137607813608337,0.3392198614151736,[64],0.48186968259823953,115,107,0.4972715118551772,0.5132142857142857,0.5357142857142856
a83he8g5,15.119346722098577,0.8743009602453566,"[64,64,64]",0.511313188,126,92,0.063951207,0.4453571428571428,0.45678571428571424
a83he8g5,20.591187989057087,0.2643417859394189,"[32,32]",0.3283240481639728,126,420,0.2346882248386258,0.5132142857142857,0.5357142857142856
a83he8g5,8.854738778370436,0.6495113267797525,[32],0.5347853376067777,106,428,0.2569053274805513,0.4839285714285713,0.4989285714285712
a83he8g5,20.89987261569684,0.8428130007359402,"[128,128,128]",0.39865169524899213,131,117,0.5119156557549589,0.3189285714285714,0.3425
a83he8g5,9.12116794,0.870272541,[16],0.4332114193881555,115,274,0.3527649430087658,0.46035714285714285,0.4860714285714285
a83he8g5,18.023155724859528,0.4873474706984195,"[32,32]",0.45505152604415017,100,449,0.47068768263143057,0.5132142857142857,0.5357142857142856
a83he8g5,13.989189817015562,0.35255503782856956,[32],0.24576815735508203,142,365,0.2899888709342906,0.505,0.5314285714285714
a83he8g5,17.834680534905512,0.9574646871378932,"[128,128,128]",0.5372898680870308,134,366,0.085037183,0.4167857142857143,0.44178571428571417
a83he8g5,12.98224152085958,0.876032265,[16],0.070691475,119,428,0.076954299,0.5164285714285713,0.5428571428571427
a83he8g5,7.117051372,0.7179318454735267,"[32,32,32]",0.10205002665054484,129,134,0.4812390943253978,0.5132142857142857,0.5357142857142856
a83he8g5,8.831363689,0.6080961547505401,[32],0.5340946259522585,125,119,0.4681033612602939,0.5042857142857142,0.5275
