Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
qxnko9vy,5.354210514386516,0.8860698155122217,"[16,16,16]",0.4456243455351301,148,469,0.2477939855175791,0.5114285714285713,0.5335714285714285
qxnko9vy,6.802334621999131,0.5089921614451394,"[32,32,32]",0.023525099103508935,126,496,0.5516667246085697,0.5132142857142857,0.5357142857142856
qxnko9vy,9.185141332637611,0.9160685420943944,[64],0.5166321682352135,116,92,0.2832587052504346,0.3467857142857143,0.37392857142857133
qxnko9vy,20.409651201321378,0.6401961218675661,[64],0.24075271965921768,141,171,0.049399593,0.4071428571428573,0.44892857142857134
qxnko9vy,2.4439909292169433,0.1078988478030466,"[64,64,64]",0.1730773186904905,149,123,0.2089918912994674,0.5132142857142857,0.5357142857142856
qxnko9vy,19.351820026036783,0.8640353005550049,"[16,16,16]",0.3029573860909509,107,338,0.23175860143639168,0.5132142857142857,0.5357142857142856
qxnko9vy,5.625056672063731,0.6947568437924673,"[16,16,16]",0.23121163654383603,132,293,0.24846064342538396,0.5132142857142857,0.5357142857142856
qxnko9vy,13.136395056719865,0.7925612685022768,"[64,64,64]",0.346985627,130,219,0.38316785629921096,0.4342857142857142,0.4603571428571428
qxnko9vy,19.622214089628475,0.1155809807126483,"[128,128,128]",0.4888623615050563,136,367,0.07240015,0.4864285714285714,0.5021428571428571
qxnko9vy,5.713996288089509,0.12639941252299594,[16],0.14354930186214063,129,366,0.09146689,0.5132142857142857,0.5357142857142856
qxnko9vy,3.959563327654883,0.19865861576994312,"[64,64]",0.18131453289713212,117,199,0.5444231311368641,0.5132142857142857,0.5357142857142856
qxnko9vy,3.270000663837749,0.7892048361789448,"[64,64]",0.5260165355930262,108,70,0.5206169561863858,0.4232142857142857,0.44928571428571423
qxnko9vy,13.873913310542052,0.1741519936438173,"[32,32]",0.003996331,135,375,0.4147524728537284,0.5132142857142857,0.5357142857142856
qxnko9vy,4.555681490929144,0.4462593793105152,"[16,16]",0.027456322,149,430,0.5182423151472609,0.5132142857142857,0.5357142857142856
qxnko9vy,11.243997646185427,0.008348112,"[16,16]",0.3860418784858196,126,252,0.043938228,0.5053571428571427,0.5299999999999998
qxnko9vy,20.067552474035708,0.053408852,[64],0.46900507412454034,112,307,0.293599475,0.4303571428571428,0.449642857
qxnko9vy,19.14114638355097,0.4081342242001312,"[16,16]",0.095886257,148,134,0.005935518,0.5117857142857143,0.5357142857142856
qxnko9vy,2.5278845555926863,0.6001397831444785,"[128,128,128]",0.007653926,104,235,0.4248767638925879,0.5132142857142857,0.5357142857142856
qxnko9vy,3.0204787837137292,0.5261809655721438,"[16,16,16]",0.49925400471974063,126,496,0.062920295,0.4921428571428571,0.5203571428571429
qxnko9vy,14.073818733049135,0.8889600316438876,[16],0.2488530820835276,122,175,0.2652864137551064,0.5132142857142857,0.5360714285714284
qxnko9vy,4.420183028308955,0.022384288,[128],0.3218067069671931,105,424,0.4594300065379245,0.5017857142857142,0.5253571428571427
qxnko9vy,20.271044195912587,0.2482529695321485,[16],0.3045110318504275,126,111,0.1965893438921165,0.5132142857142857,0.5357142857142856
qxnko9vy,14.222384101097562,0.4404829676973144,[32],0.4893290628221093,133,93,0.4375435840426505,0.5132142857142857,0.5357142857142856
qxnko9vy,13.23858127,0.6112919924429641,"[32,32]",0.4328144182033811,123,278,0.20129672909190757,0.5132142857142857,0.5357142857142856
qxnko9vy,6.451702516050925,0.963923148,[128],0.5530618251651137,126,51,0.3190384537932542,0.2953571428571429,0.3217857142857143
qxnko9vy,2.893727547069814,0.3729947586600096,"[16,16,16]",0.3981927645700867,116,388,0.2545575317919508,0.5132142857142857,0.5357142857142856
qxnko9vy,19.52224384788845,0.5698384552998422,[32],0.021002400551968062,121,7,0.042632325015646275,0.5132142857142857,0.5439285714285713
qxnko9vy,11.324694959267958,0.19621571481072617,"[64,64,64]",0.2186666509522151,106,317,0.2826624052713392,0.5132142857142857,0.5357142857142856
qxnko9vy,14.410547831822456,0.6428021481094043,[16],0.47375175508734674,109,281,0.459618899,0.5132142857142857,0.5357142857142856
qxnko9vy,1.2577104687181146,0.2858722489694619,"[32,32,32]",0.13496562874338233,145,453,0.2574149502184527,0.5132142857142857,0.5357142857142856
qxnko9vy,6.342128536415353,0.2116082502021454,"[128,128]",0.35566123626894913,122,383,0.46302144909630977,0.4989285714285714,0.5267857142857142
qxnko9vy,14.63822288,0.6996471938824571,[128],0.084984996,143,361,0.22507388509860543,0.5132142857142857,0.5357142857142856
qxnko9vy,21.13675286417379,0.2582880964244498,[32],0.3681655569478088,149,434,0.008419363,0.46428571428571425,0.5042857142857141
qxnko9vy,7.417999985,0.7087335913555319,[64],0.047102711,111,294,0.042175002,0.5132142857142857,0.542142857
qxnko9vy,8.819595921200294,0.5569738718903261,[64],0.3740032821868893,136,350,0.016026024537044176,0.395,0.43249999999999994
qxnko9vy,20.400625006336018,0.9466969664120568,[16],0.4559477429383009,109,379,0.24317403858549785,0.4857142857142857,0.5060714285714285
qxnko9vy,14.805427803066886,0.3152764063008908,[32],0.4981317662188583,136,235,0.24488895021486673,0.5132142857142857,0.5357142857142856
qxnko9vy,1.992057004280712,0.3482094063627149,"[32,32]",0.2082809009387808,130,243,0.17004357298842032,0.5132142857142857,0.5357142857142856
qxnko9vy,8.117613590678284,0.04461273,"[128,128,128]",0.11679456447809695,132,45,0.021654701,0.5014285714285713,0.5275
qxnko9vy,17.657342135561194,0.6867800040445187,"[32,32,32]",0.2527879617506971,131,3,0.12149993829667012,0.5007142857142857,0.5246428571428571
qxnko9vy,9.426588227824492,0.9267583310512104,[32],0.47114230945231195,108,80,0.4562454291256756,0.5096428571428571,0.5324999999999999
qxnko9vy,18.20620968086496,0.8521520965383383,"[64,64,64]",0.21914639376301503,131,61,0.38834436731437705,0.5117857142857143,0.5335714285714285
qxnko9vy,6.9093003605384675,0.33971428548784527,"[128,128,128]",0.30490877307894665,131,458,0.21478616541574683,0.4482142857142856,0.4782142857142857
qxnko9vy,12.228438749716894,0.050977505,[16],0.07398865,125,23,0.39598998601957114,0.5132142857142857,0.5357142857142856
qxnko9vy,1.7552866275046892,0.088588752,[128],0.2451354040011086,125,426,0.3347023176154613,0.5132142857142857,0.5353571428571428
qxnko9vy,11.902713561411304,0.014163782349678758,[16],0.007218787,111,368,0.2670546219782359,0.5132142857142857,0.5357142857142856
qxnko9vy,15.709168839361991,0.6205760744153864,[128],0.5244793491711925,135,206,0.19947190729095807,0.30714285714285716,0.3139285714285714
qxnko9vy,12.068383008011388,0.19172221572449924,"[16,16,16]",0.3113000340813475,123,455,0.32883348102376175,0.5132142857142857,0.5357142857142856
qxnko9vy,6.397683388192103,0.4646144929970637,[16],0.11625075567385972,139,370,0.2394367864056268,0.5132142857142857,0.5357142857142856
qxnko9vy,19.390666696224827,0.829050237,"[16,16,16]",0.2292343360179294,102,207,0.2297120018235284,0.5132142857142857,0.5357142857142856
qxnko9vy,9.152026091,0.1344106296284269,[128],0.3854275855783288,119,31,0.1507785357280785,0.3017857142857143,0.32107142857142856
qxnko9vy,8.685598747488998,0.060942088,"[128,128]",0.5103794934446091,108,387,0.2484704157427605,0.36499999999999994,0.3899999999999999
qxnko9vy,6.772869343866122,0.7375778825137271,"[64,64,64]",0.37201774054958126,148,323,0.5498425213270828,0.38071428571428567,0.41392857142857137
qxnko9vy,5.630439748055962,0.3491137217414804,"[64,64]",0.2357978618679152,141,254,0.33624189411019045,0.5132142857142857,0.5357142857142856
qxnko9vy,8.629877422984713,0.35927476685473236,"[16,16]",0.5118327378850306,140,50,0.3806533502421709,0.5132142857142857,0.5357142857142856
