Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
3plkrpls,2.048694629360827,0.26503046015771403,[32],0.5473449805260413,108,246,0.438748319,0.4989285714285714,0.5203571428571427
3plkrpls,13.406317120746484,0.4638529171646592,"[64,64,64]",0.5112070702500741,110,46,0.33969431,0.4560714285714285,0.4814285714285714
3plkrpls,16.436610401707195,0.1212778081406256,"[64,64,64]",0.5436688630180659,137,326,0.15125727493682398,0.4607142857142857,0.4928571428571428
3plkrpls,7.865636235501251,0.8112127035272928,[32],0.2263321430384082,111,445,0.1601609317989278,0.5132142857142857,0.5357142857142856
3plkrpls,20.087175756461587,0.4510937960464837,"[32,32]",0.10339425704885244,141,89,0.2831556725949187,0.5132142857142857,0.5357142857142856
3plkrpls,17.022601514608727,0.8397713571854611,"[128,128]",0.2322325945235901,117,374,0.2141117304097785,0.4885714285714285,0.5107142857142857
3plkrpls,13.280555996106145,0.8520572478090571,"[128,128]",0.3463078739059579,147,308,0.3483652832030072,0.3910714285714286,0.4178571428571427
3plkrpls,0.5413880155389119,0.087365242,[16],0.00479272,128,24,0.4344912627162851,0.5132142857142857,0.5357142857142856
3plkrpls,9.876609363,0.7662703909316435,"[16,16]",0.21070675842091405,100,34,0.3550532967489349,0.5132142857142857,0.5357142857142856
3plkrpls,0.7539385608421729,0.1784303207055373,"[128,128,128]",0.044787615638045446,103,247,0.064366351,0.5132142857142857,0.5357142857142856
3plkrpls,13.135791658479691,0.31898483539330946,"[16,16,16]",0.3807682527115803,132,154,0.44727813890977713,0.5132142857142857,0.5357142857142856
3plkrpls,12.669385851274914,0.20729234433332008,[128],0.23882073173165305,131,282,0.12074458830060676,0.3132142857142857,0.3410714285714285
3plkrpls,11.051553998114176,0.9765524275278968,"[16,16]",0.3993838226918636,105,247,0.4039967773623719,0.5132142857142857,0.5357142857142856
3plkrpls,11.74755116962514,0.5407877643975675,[128],0.17242682277601828,131,398,0.036707211241996385,0.35857142857142854,0.3828571428571428
3plkrpls,4.004723350493424,0.31719840053432796,"[16,16,16]",0.17970307773436003,104,480,0.2831801007514994,0.5132142857142857,0.5357142857142856
3plkrpls,15.184943042867314,0.3949190823159834,"[32,32]",0.5416687903165426,105,181,0.28968980585418763,0.49964285714285706,0.5228571428571428
