Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
xkvjr64k,0.8507587861454515,0.2549271935748392,"[32,32,32]",0.30870083464633274,114,155,0.2727266888550185,0.5132142857142857,0.5357142857142856
xkvjr64k,15.00855479228176,0.5040474814809521,[32],0.1004487650724375,128,249,0.077228399,0.5132142857142857,0.5357142857142856
xkvjr64k,17.166166211273303,0.21120383237582235,[64],0.5260429322340772,106,228,0.31709307159079636,0.3625,0.37535714285714294
xkvjr64k,11.639853158541449,0.9175617871155444,"[32,32,32]",0.031238406163331796,121,202,0.048073784,0.5132142857142857,0.5357142857142856
xkvjr64k,15.94005095039358,0.17478533782850056,"[64,64,64]",0.2692863668787387,128,286,0.4529810969495035,0.5132142857142857,0.5357142857142856
xkvjr64k,11.668512727997548,0.026361211791508885,"[128,128]",0.2931166682026098,146,198,0.47526518412327945,0.5132142857142857,0.5357142857142856
xkvjr64k,18.156799261392084,0.7709811743713944,"[16,16]",0.13296259229784507,128,416,0.4347828816536699,0.5132142857142857,0.5357142857142856
xkvjr64k,16.933999611222717,0.03261429,"[64,64,64]",0.5353628897407634,109,222,0.33570712089401233,0.4424999999999999,0.47392857142857137
xkvjr64k,11.626957968361632,0.6080332082759683,"[128,128,128]",0.20848499579854696,151,474,0.075710714,0.46178571428571424,0.48999999999999994
xkvjr64k,0.7095688955809838,0.7269727513290832,[32],0.3455480773813838,148,245,0.3556829119496672,0.5132142857142857,0.5357142857142856
xkvjr64k,1.877634870985055,0.6920729544470292,"[64,64,64]",0.5197657177521391,142,25,0.5170939715510858,0.45357142857142846,0.4853571428571428
xkvjr64k,19.74596916780842,0.8769888510844952,"[16,16,16]",0.27218656221899984,148,471,0.14527907396439232,0.5132142857142857,0.5357142857142856
xkvjr64k,10.961178785021126,0.46583357918496865,[64],0.14383453070541002,122,405,0.27805667738418494,0.5132142857142857,0.5357142857142856
xkvjr64k,2.916589750810878,0.6547490433702221,"[128,128,128]",0.5479298074444595,138,384,0.031183353315490155,0.44964285714285707,0.4724999999999999
xkvjr64k,5.885472443,0.1779688639167666,"[128,128]",0.3206902808571036,100,319,0.33936354086770393,0.4932142857142857,0.5192857142857144
xkvjr64k,12.855387356133738,0.7562230798950803,"[64,64]",0.4852763735518876,121,179,0.046788542781934894,0.4778571428571427,0.4989285714285714
xkvjr64k,12.47093519865358,0.4606228798749093,"[32,32,32]",0.11729972651381988,151,410,0.4730193916232692,0.5132142857142857,0.5357142857142856
xkvjr64k,18.90206010608628,0.8156246257128377,"[16,16]",0.064396371,144,451,0.10802234311901868,0.5132142857142857,0.5357142857142856
xkvjr64k,18.88543883073902,0.28916275189057783,"[32,32,32]",0.4051182532103504,102,406,0.057514137,0.4992857142857142,0.5232142857142856
xkvjr64k,4.302148395536292,0.7686755483449879,[128],0.087342911,122,258,0.3710635742828845,0.5132142857142857,0.5357142857142856
xkvjr64k,12.344004715518947,0.6919057967029404,"[32,32,32]",0.2862932402694868,144,473,0.060592412,0.5121428571428571,0.5335714285714285
xkvjr64k,14.455389294416852,0.6776461804049561,"[16,16,16]",0.2833166578879181,134,208,0.11393972620443796,0.5132142857142857,0.5357142857142856
xkvjr64k,18.415644924781287,0.4790320081069438,"[16,16,16]",0.082212351,105,285,0.5359696139751391,0.5132142857142857,0.5357142857142856
xkvjr64k,7.266991602612149,0.7051854353186493,"[128,128,128]",0.3143523851705737,143,497,0.1643958631604051,0.42607142857142855,0.4614285714285713
xkvjr64k,21.184676416635643,0.9145195824234236,"[16,16,16]",0.003972359,105,267,0.3989318263815308,0.5132142857142857,0.5357142857142856
xkvjr64k,3.4135550471092695,0.8811273120180916,"[16,16]",0.11669162824329822,115,437,0.32557492359295337,0.5132142857142857,0.5357142857142856
xkvjr64k,14.186410820945229,0.9590983944058386,"[16,16]",0.45864739181310554,101,292,0.3733716908133217,0.5132142857142857,0.5357142857142856
xkvjr64k,13.610734868902153,0.8811536261907603,"[128,128]",0.4073850772606041,147,155,0.38645497098359266,0.4467857142857143,0.4771428571428571
xkvjr64k,0.4252894126286602,0.8739745297893518,"[32,32]",0.008378649,111,102,0.3000561291947662,0.5132142857142857,0.5357142857142856
xkvjr64k,19.83474147086174,0.970836155,"[64,64]",0.25834891418138967,142,306,0.19262466411586657,0.4203571428571427,0.4482142857142856
xkvjr64k,10.212513262886796,0.4623157080504112,[32],0.1786761894904456,124,261,0.3697136458763721,0.5132142857142857,0.5357142857142856
xkvjr64k,5.914596242386293,0.8812786565017164,[128],0.4167117571076484,145,153,0.040406431,0.3310714285714286,0.3396428571428571
xkvjr64k,7.943179208132472,0.068281638,"[64,64]",0.2741257510004044,139,185,0.5195994861465677,0.5132142857142857,0.5357142857142856
xkvjr64k,13.230830312102448,0.8880407512251299,[128],0.30843508694118654,123,300,0.4178645761943038,0.42749999999999994,0.4524999999999999
xkvjr64k,19.40419883985274,0.3363929165749109,[16],0.3996084235257901,103,358,0.10540814011435325,0.5092857142857142,0.5335714285714285
xkvjr64k,4.896067374677892,0.27972309280215085,[64],0.10242738000578364,127,110,0.20050897873537368,0.5132142857142857,0.5357142857142856
xkvjr64k,6.519446275012253,0.9796778725455526,"[32,32,32]",0.2483085385898491,106,45,0.15290401862615235,0.4717857142857143,0.4946428571428571
xkvjr64k,17.348797617567193,0.6487326201638415,"[64,64]",0.094220355,131,460,0.2898436296046142,0.5132142857142857,0.5357142857142856
xkvjr64k,10.79742982,0.084489265,"[128,128,128]",0.434100104,126,159,0.1705401576519252,0.4057142857142857,0.43999999999999995
xkvjr64k,17.805315410707582,0.3613224019222079,"[16,16]",0.1345414871722538,104,88,0.4559304368350515,0.5132142857142857,0.5357142857142856
xkvjr64k,1.4247537518802738,0.5142485086626333,[64],0.5538994285615146,132,452,0.077421119,0.3453571428571429,0.3521428571428571
xkvjr64k,21.01866123,0.7741930932171389,"[64,64,64]",0.080075014,121,7,0.43902789985544827,0.5132142857142857,0.5357142857142856
xkvjr64k,13.450527396498767,0.8820857174710529,"[128,128]",0.40942881156571576,121,379,0.5077554047934624,0.4921428571428571,0.5182142857142856
xkvjr64k,10.11641155291342,0.33490333164919234,"[16,16]",0.055920517,126,43,0.10776465972463382,0.5132142857142857,0.5357142857142856
xkvjr64k,0.5595732430746989,0.9587846320963336,"[64,64,64]",0.3215164867587134,120,411,0.5255955067568178,0.44357142857142856,0.4732142857142856
xkvjr64k,14.004563658926957,0.9917254440930784,"[16,16,16]",0.3338937357991329,102,329,0.5254502739041486,0.5132142857142857,0.5357142857142856
xkvjr64k,10.237537715917224,0.8615658922529361,"[64,64,64]",0.3708998064513586,105,89,0.1679357192530124,0.4710714285714286,0.4964285714285714
xkvjr64k,3.4064448710684925,0.074450758,"[32,32]",0.000958522,129,460,0.4758551828360142,0.5132142857142857,0.5357142857142856
xkvjr64k,10.63822382677773,0.7948657415796964,"[128,128]",0.22604661178581756,128,412,0.2354744026264259,0.5132142857142857,0.5357142857142856
xkvjr64k,10.0328148,0.22565660489226447,"[16,16,16]",0.34042978663961204,129,44,0.5335432389841294,0.5132142857142857,0.5357142857142856
xkvjr64k,14.562348631034377,0.8906800640617557,[128],0.398884434,115,461,0.2560699956290773,0.3457142857142857,0.3721428571428571
xkvjr64k,16.23879111,0.7201729598422485,"[32,32,32]",0.2134608620282396,150,327,0.37505814813432714,0.5132142857142857,0.5357142857142856
xkvjr64k,2.5307697400391707,0.053428232,"[32,32,32]",0.098109588,117,480,0.14711463095913466,0.5132142857142857,0.5357142857142856
xkvjr64k,5.820228632532561,0.6830317959428743,"[16,16,16]",0.12311232326335604,151,255,0.061107088,0.5132142857142857,0.5357142857142856
xkvjr64k,5.134069317985145,0.1386189505520066,"[16,16,16]",0.32665024988698377,106,43,0.1506595241994271,0.5132142857142857,0.5357142857142856
xkvjr64k,15.049196471344551,0.483968964,"[32,32]",0.41415783658573535,115,402,0.46364792781955433,0.5132142857142857,0.5357142857142856
xkvjr64k,11.007236955422728,0.460939656,"[16,16,16]",0.3695407361368124,143,93,0.25910428095803023,0.5132142857142857,0.5357142857142856
xkvjr64k,5.873376884600682,0.12091785926970185,[128],0.3651234646331598,135,70,0.5319384624007877,0.475,0.5074999999999998
xkvjr64k,2.430818040952256,0.22023267106797928,[32],0.2317705828899453,120,446,0.3228267345871277,0.5132142857142857,0.5357142857142856
xkvjr64k,6.107701928296198,0.8214288980666696,"[128,128,128]",0.008624032,144,81,0.4368260998953122,0.5132142857142857,0.5357142857142856
xkvjr64k,13.26456678591822,0.019585267,"[128,128]",0.5365312628452655,130,289,0.017447601894663423,0.45107142857142857,0.48178571428571426
xkvjr64k,16.657916614221893,0.006910585,"[64,64]",0.24455605311989395,151,356,0.3475761944904831,0.5132142857142857,0.5357142857142856
xkvjr64k,19.98702537325376,0.748437713,"[128,128]",0.14380517539813967,128,33,0.3774509307321764,0.5132142857142857,0.5357142857142856
xkvjr64k,12.55373552,0.6024531487132733,[32],0.4216377765439784,132,399,0.4411464674270218,0.5132142857142857,0.5357142857142856
xkvjr64k,0.9880779577668668,0.2994907975462298,[16],0.26604468172931306,138,54,0.20019875933881368,0.5132142857142857,0.5357142857142856
xkvjr64k,9.654490986145577,0.5169239407643991,"[16,16]",0.091132322,150,173,0.21038837699589777,0.5132142857142857,0.5357142857142856
xkvjr64k,1.9953206062560795,0.2038599604831102,[32],0.2189246540903773,113,201,0.17620039878450575,0.5132142857142857,0.5357142857142856
xkvjr64k,19.799328102532726,0.3813446856448041,"[16,16,16]",0.5135358094453099,115,432,0.4539228908210127,0.5132142857142857,0.5357142857142856
xkvjr64k,10.22703636929016,0.1947284764601535,"[128,128]",0.042491947,131,105,0.4408775881791943,0.5132142857142857,0.5357142857142856
xkvjr64k,6.135065155,0.1351592371232005,"[128,128,128]",0.3116418715377636,123,468,0.5441939591575878,0.4221428571428571,0.4389285714285714
xkvjr64k,20.975160851780153,0.04876427,"[32,32]",0.42088934,137,348,0.2176237001899926,0.5075,0.5324999999999999
