Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
pam8p6ry,8.051178168851362,0.5817532874379719,"[128,128]",0.2945795575794374,107,289,0.040512179171798834,0.3323125000000001,0.32853817862436185
pam8p6ry,10.540274569431125,0.49679929497598646,[128],0.22839943065664425,130,211,0.13142968311517558,0.34565972222222235,0.347277817
pam8p6ry,16.226930990909672,0.11054865681653377,[32],0.18226584320504735,96,101,0.27811883745796184,0.336715278,0.3350469341823573
pam8p6ry,7.866837547985135,0.069515514,"[128,128,128]",0.3509702541916377,120,220,0.5473579242462836,0.320013889,0.31938409178240107
pam8p6ry,15.534821650177976,0.6393806439289264,[32],0.13252311082119475,95,353,0.2669571205653162,0.3235833333333334,0.32276774441455786
pam8p6ry,20.50405242896448,0.097663266,[128],0.17017034520051602,122,494,0.12374901453970873,0.3349583333333335,0.33621946533457764
pam8p6ry,15.286898205151989,0.4144385429590095,"[64,64,64]",0.14194621162030618,121,85,0.3098069039134609,0.34779166666666683,0.3487983751440963
pam8p6ry,11.467642634859326,0.27439701750481904,"[128,128,128]",0.34861267584729927,122,221,0.4215146238343358,0.33069444444444457,0.3301273535708406
pam8p6ry,16.78110577675938,0.7785187772311262,[128],0.34432375827567685,120,147,0.37656377044772704,0.3440416666666668,0.34525553054838903
pam8p6ry,19.837354364961783,0.2368454135552506,[64],0.5332625389618944,125,458,0.10840380477541237,0.34011805555555574,0.3407147170225614
pam8p6ry,10.79113862866586,0.9758236845668224,[16],0.17819813842748905,100,387,0.33012806471515865,0.3243750000000001,0.3220074655541527
pam8p6ry,4.580445317054157,0.38697634853168544,"[32,32]",0.21659230054626785,130,20,0.16861912744255228,0.3240208333333334,0.3225097436460449
pam8p6ry,7.062405230344944,0.29951166351526665,[32],0.21306971513328543,116,309,0.3489905117545942,0.3283333333333334,0.3286051490366143
pam8p6ry,18.454274927205127,0.9786681652572976,"[16,16,16]",0.083552354,107,89,0.3412114870387181,0.33722916666666675,0.33752099687105463
pam8p6ry,16.894867704483662,0.5451830259013238,"[64,64]",0.15450134606641916,122,124,0.18990140986444284,0.32329166666666675,0.32051325684799914
pam8p6ry,6.4973540567647845,0.1221466017881387,"[128,128,128]",0.14626113580364578,110,38,0.5003720310581242,0.33381250000000007,0.3340105396058628
pam8p6ry,6.469716748295381,0.18205503446813023,[16],0.3358667530065426,102,134,0.3657293448543686,0.33035416666666684,0.3302920349124445
pam8p6ry,17.909499590485908,0.11288248487631292,"[32,32]",0.20003582185178223,127,163,0.27600610966884676,0.33468750000000014,0.33349289125542086
pam8p6ry,2.821051430705885,0.2656974626560139,[32],0.40777483402292175,100,336,0.4240367593389357,0.33909027777777795,0.33948070483614223
pam8p6ry,14.95072398,0.10350275681289396,[128],0.41308836458228426,116,160,0.009311073,0.6158958333333333,0.5979321512872592
pam8p6ry,10.966890662197748,0.5699217697066745,"[32,32]",0.4982321745233274,95,19,0.049539571925651775,0.3380347222222223,0.33602349453806896
pam8p6ry,3.4212547403747524,0.4973183633907547,"[32,32]",0.2603691176626147,103,292,0.4798867850799427,0.33906250000000016,0.3394313
pam8p6ry,16.25438732604369,0.8266090931429372,[128],0.12037861159720216,98,62,0.1939596573457558,0.3283333333333334,0.32765987813580727
pam8p6ry,5.693632287,0.090955594,"[32,32]",0.17302299850307695,114,41,0.32578367741972075,0.3257916666666667,0.3242806170060933
pam8p6ry,9.383562949414928,0.2684550193203965,"[128,128,128]",0.2323760314755111,93,365,0.43319474984021944,0.34437500000000015,0.34491244442004737
pam8p6ry,5.579254578508568,0.6683635566215522,"[32,32,32]",0.25378550104677694,136,11,0.29821513458471577,0.34000000000000014,0.34187956304550704
pam8p6ry,9.147861881476446,0.6748438760763859,"[64,64]",0.4932874590572986,112,433,0.3245681582086343,0.33346527777777796,0.3341417357413407
pam8p6ry,18.72659379969771,0.1049270168115611,[32],0.11113721340769672,129,192,0.027253071,0.3642222222222222,0.3544030301366856
pam8p6ry,15.073363127040926,0.8493383523422953,[128],0.303128965,116,100,0.2842697380465027,0.3406319444444446,0.3415320854147227
pam8p6ry,20.220600599281397,0.056290669,"[32,32,32]",0.27525424709501917,93,299,0.47491028409429986,0.3285972222222224,0.32835593127298696
pam8p6ry,1.809783805269908,0.47887550478157975,"[16,16,16]",0.22205096942742888,95,309,0.078980273,0.3323333333333334,0.3310868968545864
pam8p6ry,13.589904666840846,0.6326890336910711,[16],0.44623048843983154,135,151,0.29806835701506035,0.3302083333333335,0.33037821814788404
pam8p6ry,17.20731475833714,0.3849069467098085,[16],0.37465569220793177,114,493,0.5020125373921744,0.33252083333333354,0.33189273755283544
pam8p6ry,1.0233654730907769,0.3700301840627731,"[64,64,64]",0.2323760903935801,124,497,0.4312246447045686,0.3405833333333335,0.34153373222813876
pam8p6ry,12.318886056967024,0.7985788943747163,"[128,128,128]",0.4378418366710232,105,136,0.3653182106132257,0.317638889,0.3160915628259318
pam8p6ry,15.213834304356114,0.8106420658088099,"[128,128]",0.034201673,110,174,0.422111822,0.33510416666666687,0.3361283416588903
pam8p6ry,13.11392572902438,0.9093118531457712,[128],0.13128940052181615,97,387,0.35455993014980414,0.3380972222222223,0.33947356864467276
pam8p6ry,9.295076090884823,0.15559721436702856,"[16,16]",0.3213114878186746,137,179,0.4847757883256588,0.3430555555555557,0.34296645990009345
pam8p6ry,7.146777278788513,0.8587446875118036,"[16,16]",0.1021215483128158,96,374,0.033093459,0.3262361111111111,0.32173354558928474
pam8p6ry,12.456144156406076,0.8872699276866967,"[64,64]",0.2895038484282445,126,123,0.23316380278308577,0.32634722222222234,0.3253301860899161
pam8p6ry,20.91715051944313,0.7761699339783041,"[64,64,64]",0.3975671842597768,125,86,0.44503865089432887,0.33683333333333354,0.3379881429434047
pam8p6ry,3.0634489836805248,0.045741662952937974,"[64,64,64]",0.17978731674646337,100,459,0.34756888321587137,0.3282847222222223,0.3288022177087337
pam8p6ry,13.299536042869123,0.6606777354907748,"[64,64]",0.002652932,123,493,0.4738232715523922,0.3547152777777778,0.35379864961299895
pam8p6ry,5.082139757826288,0.5684888767467458,[32],0.5476483838541855,107,123,0.004941764,0.6138194444444445,0.5991881209858924
pam8p6ry,12.030568970532816,0.800330307,"[64,64,64]",0.2664779382446634,99,152,0.2932127042850322,0.3238611111111112,0.32205357632980186
pam8p6ry,1.4331577882746431,0.05471046,"[128,128]",0.42134903687560554,134,236,0.053316708672878126,0.3372083333333334,0.3328034253719055
pam8p6ry,9.225607444,0.5981360335551956,"[32,32]",0.026915412834977056,134,187,0.32341715550854205,0.3322291666666668,0.3320656529615196
pam8p6ry,5.2245148635618985,0.027936982580772676,[64],0.4693520818911376,102,266,0.067602063,0.328763889,0.32542295657901965
pam8p6ry,5.951542908684207,0.31915107769195095,"[64,64,64]",0.2983248330048175,138,228,0.3138415155708629,0.33595138888888904,0.33559642092550923
pam8p6ry,19.889341528043634,0.6844801393730676,"[128,128]",0.3745925433400566,118,370,0.24085233909432024,0.3317916666666668,0.3323247516056433
pam8p6ry,3.184629840071053,0.2731523169620959,"[128,128,128]",0.5064975466731899,115,163,0.34832165290194017,0.3456736111111113,0.3472673876049845
pam8p6ry,2.729293975870153,0.18051911285303465,[16],0.23867524345276955,132,290,0.4435391077700784,0.3361250000000001,0.33552011857056613
pam8p6ry,13.96632366731734,0.5227008626769741,"[64,64]",0.4318267921858487,119,42,0.4459737883054903,0.33539583333333356,0.3359576220014274
pam8p6ry,4.205536182007861,0.6366727538822702,"[128,128]",0.044023386,104,448,0.4604321314462372,0.3476250000000002,0.3517785584893233
pam8p6ry,15.975031382716276,0.7440087803524572,[16],0.35754502378360353,109,384,0.5348463044104556,0.32258333333333344,0.32047922270406765
pam8p6ry,3.9952125854788063,0.1010487272161017,"[64,64,64]",0.014951698966462566,122,436,0.12299041580606396,0.3393055555555557,0.3393654278970194
pam8p6ry,3.2957923544265437,0.6598718726544631,[128],0.2093985586834987,125,113,0.489037639,0.3424652777777779,0.3433095460284351
pam8p6ry,16.783521149584033,0.081842641,[32],0.2641107151797316,97,216,0.4887412165680278,0.3414375000000001,0.343909535
pam8p6ry,16.983349515047028,0.843405165,"[32,32,32]",0.1297602663194936,118,38,0.21212329096451263,0.3341805555555557,0.33393917769116777
pam8p6ry,16.658729707643964,0.4334912042191195,"[16,16,16]",0.447925633,122,191,0.082324403,0.33602777777777787,0.3340923313388594
pam8p6ry,5.1543246902121815,0.5031472972051525,"[64,64,64]",0.5280361906321935,115,273,0.031986513,0.3406666666666666,0.33648624910797614
pam8p6ry,3.6060973585447567,0.22652253278866435,"[32,32,32]",0.3932519391949134,116,384,0.32297217192069205,0.3336319444444446,0.3341856507657684
pam8p6ry,18.442697803338017,0.32929541371828336,[32],0.060134862,102,290,0.49651232841679926,0.32489583333333344,0.3219931931712137
pam8p6ry,2.2175424694305694,0.408200624,"[64,64,64]",0.32725096818008287,126,417,0.28059698916465403,0.33097916666666677,0.32990613163528587
pam8p6ry,2.6811708934674896,0.8023838994015096,"[64,64]",0.019244483581124208,135,294,0.3310623392747343,0.3492291666666667,0.3508294450238789
pam8p6ry,10.583056253243582,0.8266485193504081,"[32,32,32]",0.3794297138161587,122,478,0.415059185,0.34187500000000015,0.3436515342811661
pam8p6ry,18.882144663221304,0.4969831652869315,"[16,16,16]",0.096826072,98,114,0.17451798052446896,0.3175416666666667,0.31481473349069555
pam8p6ry,14.942497656426657,0.4881430866175236,"[16,16,16]",0.10247051496843676,135,132,0.091112109,0.34087500000000004,0.3421188999286382
pam8p6ry,10.434979331469112,0.6859761959918188,"[64,64]",0.08346797,95,347,0.092876566,0.3302916666666667,0.3275808310918374
pam8p6ry,4.642743377497263,0.580150317,[32],0.4071635933645533,126,497,0.27843123128660874,0.3189791666666667,0.3168463523082835
pam8p6ry,1.556556469734211,0.46414946705347904,[32],0.44539442,117,256,0.010341634958055936,0.5571458333333333,0.5393264533128397
pam8p6ry,8.809001183249151,0.8122110249608392,"[128,128]",0.5253800555457395,96,277,0.5505476960667548,0.3335833333333335,0.33451007300872826
pam8p6ry,14.524993833161256,0.6280541651239072,"[128,128]",0.17643261222173007,105,71,0.05956958,0.341951389,0.3406235933468739
pam8p6ry,3.0359397037395213,0.844564733,"[128,128]",0.002151445,104,258,0.2605887072489986,0.34984027777777776,0.34805291760443546
pam8p6ry,3.6796106233421666,0.20730127279715704,[64],0.12284487367313998,129,314,0.4794593929560323,0.34950000000000014,0.3535510786627876
pam8p6ry,11.384649185080946,0.01907888,"[16,16,16]",0.1158179934966846,102,470,0.2394955164409917,0.3316597222222223,0.3324120327166933
pam8p6ry,3.489419907867273,0.342872255,"[128,128,128]",0.3750387637174699,126,280,0.018855175,0.3345902777777778,0.3301224131305924
pam8p6ry,7.514768145631377,0.7040058980475694,"[16,16]",0.1726985902201861,111,227,0.3495415315208992,0.3267500000000001,0.3266591645166603
pam8p6ry,13.664711961554424,0.9353398366549648,"[128,128]",0.4330751021736358,92,174,0.2730186328329833,0.3342152777777779,0.336067959
pam8p6ry,8.859032635084505,0.13223840505909396,"[32,32,32]",0.024650512936603395,103,117,0.065389132,0.33498611111111126,0.33582532799033876
pam8p6ry,3.850749310510852,0.9052284715735296,[32],0.068928987,102,293,0.2696399740991556,0.33876388888888903,0.33785420211890005
pam8p6ry,4.294089840247994,0.16124000676438044,"[64,64,64]",0.33282325717154704,97,10,0.4137493165113887,0.32584722222222234,0.32446835373552185
pam8p6ry,11.698496107327864,0.7395351107153383,[128],0.48023911900657273,111,421,0.036742068,0.3491666666666666,0.34300214085744085
pam8p6ry,19.91337342847676,0.41115824754618113,[32],0.1249074835910744,96,220,0.19470023264950567,0.32869444444444457,0.3284887742218807
pam8p6ry,1.008417216357511,0.099736699,"[32,32,32]",0.5511991801461635,132,276,0.3838222061771759,0.33858333333333346,0.33695339518032624
pam8p6ry,15.557607645291244,0.9503083115038582,"[64,64]",0.23041922817264987,99,183,0.020384899513453673,0.34109027777777784,0.34107482022286884
pam8p6ry,15.315082976740475,0.3306881354885918,[16],0.4087509548310469,114,236,0.16596965139237416,0.3370416666666668,0.33800296426414905
pam8p6ry,16.47834785681357,0.43111174462077007,"[32,32]",0.1510496117589245,120,405,0.40822981941858255,0.3273333333333334,0.326314981
pam8p6ry,8.423084441272115,0.975900407,"[128,128]",0.026467098976747743,122,199,0.0312164,0.3325416666666666,0.3298325739693692
pam8p6ry,12.82900938270802,0.1373531702329788,"[64,64]",0.028682173,94,36,0.055567583,0.3397361111111112,0.33824285008508537
pam8p6ry,9.701910135,0.2467159675824124,"[128,128]",0.3212903815343095,112,84,0.14401091561748233,0.32684722222222234,0.3262556952297305
pam8p6ry,11.797541581935574,0.5754808421455238,"[16,16]",0.5291967437690578,137,262,0.35910540443813566,0.3352500000000001,0.33604160948564543
pam8p6ry,1.5515534762583083,0.066854929,"[16,16]",0.4847449156752852,96,424,0.3975505891181024,0.31022222222222234,0.30718834056101446
pam8p6ry,18.740068826472637,0.3164600138834919,[16],0.3796706253306735,122,150,0.21435197628461797,0.32618750000000013,0.32410770159740904
pam8p6ry,19.22156067117321,0.7038493570573953,"[128,128,128]",0.5518543301502757,130,10,0.2291038045780683,0.3230555555555556,0.32341988252730963
pam8p6ry,11.688839211516576,0.6516350999224348,"[128,128]",0.3265806563361679,113,442,0.13016801954271845,0.336638889,0.3376417631882309
pam8p6ry,18.668731615867813,0.5036215811538286,[128],0.3868226406386322,119,52,0.056162554,0.3394305555555555,0.3374446945161113
pam8p6ry,7.533742118378816,0.13320629254852245,"[64,64,64]",0.17406332643408096,100,382,0.4422502676796895,0.32589583333333344,0.324283362
pam8p6ry,11.510961745739866,0.21070007791483863,"[32,32]",0.1786843980232713,126,110,0.33404490724116004,0.33616666666666684,0.3355228632595928
pam8p6ry,6.599580242489668,0.7028031284025809,"[16,16,16]",0.085839542,99,425,0.068865156,0.33068055555555564,0.3303804138991054
pam8p6ry,19.072644822439308,0.4776397178592755,"[32,32,32]",0.031543612,125,193,0.5443539523629668,0.3278680555555556,0.3259235878574958
pam8p6ry,1.4346440368500273,0.9569916263909009,"[128,128,128]",0.5500013901662067,123,351,0.031544547,0.3295,0.3283081736839216
pam8p6ry,8.543769359804049,0.2073504688763988,"[128,128]",0.032992611,137,439,0.016632733443346533,0.4445833333333334,0.43792062359334694
pam8p6ry,8.556087766711338,0.2233816200100371,"[16,16]",0.533394941,108,357,0.30064380328550916,0.32849305555555575,0.32790031289454924
pam8p6ry,4.1083095868418456,0.8023617466359784,[128],0.22297953882104676,133,335,0.11147394916518764,0.3362986111111112,0.3357819619037164
pam8p6ry,18.80482572842707,0.45577638464057085,"[128,128,128]",0.2022252566019721,123,48,0.32640343171814035,0.3443333333333335,0.34508041938848344
pam8p6ry,18.88729951906599,0.078231981,"[64,64,64]",0.059640389,97,24,0.006329468,0.5936597222222222,0.5796602074984905
pam8p6ry,6.915225736999173,0.5489971343920215,"[64,64]",0.30752730266695205,107,216,0.30575201022878273,0.34533333333333344,0.3473700389745843
pam8p6ry,0.2303165485051912,0.6072113744868295,"[16,16,16]",0.073905991,123,343,0.2690381867093589,0.33468750000000014,0.333496185
