Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
k1ol0vs0,4.427389119623781,0.7923155484972929,"[128,128]",0.4287148776891571,127,212,0.5184702028208941,0.33742361111111124,0.33763956743700957
k1ol0vs0,14.256918965004948,0.47459277036257336,[64],0.4256501743968843,138,280,0.1264596156424964,0.3414305555555557,0.34339408245045855
k1ol0vs0,9.109977670490805,0.4633367722129884,"[16,16,16]",0.2696502568428551,132,33,0.2843133508209616,0.3238750000000001,0.3225964758192897
k1ol0vs0,12.530075949495986,0.13460698895143516,"[16,16]",0.2918416729716577,96,132,0.1808266204581868,0.3303541666666667,0.3302925838502499
k1ol0vs0,20.462181300977072,0.950041373,[32],0.017987543266812806,123,357,0.1065695287618746,0.3410486111111112,0.33664214744469456
k1ol0vs0,18.325933981670776,0.38658665253344754,"[128,128]",0.017175193140418692,111,148,0.46871064030408854,0.33064583333333347,0.3301213152549818
k1ol0vs0,0.8837270769813237,0.690102629,"[64,64,64]",0.27554988334009195,92,137,0.15824455209426966,0.3414166666666668,0.3420722402151838
k1ol0vs0,10.65939393087489,0.6876083214911827,"[16,16]",0.067922006,103,39,0.4630658682458222,0.32993750000000005,0.3281747817972225
k1ol0vs0,15.282058849928866,0.8830013968243762,"[128,128]",0.2882920157668921,138,112,0.024813613265492335,0.3410208333333333,0.3387945325794587
k1ol0vs0,5.203625733483921,0.5302423914226859,"[64,64,64]",0.4883335793701296,126,224,0.2202003104774999,0.3386736111111112,0.33951583685568437
k1ol0vs0,21.068553790738036,0.8180070039209703,"[32,32]",0.1175138339958774,96,30,0.4339028867110497,0.3319375000000001,0.3322374704945931
k1ol0vs0,18.71480742900933,0.3677624560142526,[64],0.014891435173111317,110,273,0.059760783250988374,0.3516111111111112,0.34793324916286983
k1ol0vs0,1.5065083353566469,0.7900107142887925,"[32,32,32]",0.27824335909200415,105,253,0.040006357,0.32863194444444443,0.3229703024647307
k1ol0vs0,3.485902921059092,0.7352452636019814,"[32,32]",0.34429161108525963,125,147,0.4010513832460915,0.3271875000000001,0.32640171268595275
k1ol0vs0,11.674291221513114,0.044932444490325435,"[64,64]",0.098674497,111,380,0.22770416259789228,0.3313750000000002,0.3296887522643685
k1ol0vs0,3.968142109,0.26686434487782257,"[32,32,32]",0.5519208009114795,109,342,0.093115671,0.31847916666666676,0.3142427402975243
