Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
asz9nphy,20.13457649740028,0.7978731805825563,"[32,32]",0.3185325806538563,131,429,0.006337142,0.4013055555555555,0.3976746994565515
asz9nphy,1.7483603232515723,0.9780756227351032,"[32,32,32]",0.3218616481665886,97,292,0.13466085427337862,0.3301180555555556,0.3289679969259484
asz9nphy,9.883415844975833,0.8946411624100636,"[64,64]",0.1353260205922799,119,237,0.3336076697888038,0.3417777777777779,0.34321018828566735
asz9nphy,18.971686524639686,0.4240090436412837,"[64,64]",0.4258234368458098,120,416,0.47716375587242393,0.3408750000000002,0.3413613657572599
asz9nphy,19.198891414129022,0.6690318828039771,"[16,16]",0.5483078998902232,110,56,0.3361187582095516,0.3349791666666668,0.33331778009551527
asz9nphy,6.245658542555926,0.42720425547735863,"[16,16]",0.18989039310176692,102,348,0.2405633164229027,0.3398541666666668,0.34196464840533586
asz9nphy,13.66476967017849,0.8485874819773886,"[32,32]",0.5386408103283721,120,96,0.015438794922497627,0.3241875,0.3175413075698523
asz9nphy,7.712632350688295,0.9242771561488756,"[128,128,128]",0.1479796101575059,124,97,0.3660805867294753,0.3367361111111113,0.33521436021298806
asz9nphy,6.735711352444945,0.2092729640538489,[16],0.5437203807195431,116,423,0.21235107921623925,0.3274791666666668,0.32622879727726856
asz9nphy,12.78429599361549,0.18765860967607967,"[64,64]",0.20675447500522073,123,235,0.38497306712080215,0.3404375000000001,0.34185595871987723
asz9nphy,14.662573144689189,0.6528265544918266,"[16,16,16]",0.37471882098035125,96,414,0.3913417851316352,0.33093750000000016,0.32994675303288146
asz9nphy,11.150253396652372,0.027381628,"[32,32,32]",0.37663777538725707,118,264,0.009684971,0.3341805555555556,0.3263336443980897
asz9nphy,7.820934100451889,0.2595347212751643,[32],0.3671346397812912,96,130,0.007159572,0.7232777777777778,0.7109123346324863
asz9nphy,5.769357325181468,0.6870736294024873,"[16,16,16]",0.22947606126298636,124,205,0.387641159,0.3316458333333335,0.33240983696547205
asz9nphy,20.83167757321104,0.5794254607550212,"[64,64]",0.098138863,115,87,0.15263349380998056,0.34692361111111125,0.34931053411648477
asz9nphy,13.727017019384174,0.3883192654649797,"[32,32,32]",0.094922392,101,54,0.49653359835930505,0.34445833333333353,0.3478871383872209
asz9nphy,20.79845817433593,0.4593520914103091,[16],0.3747214896274565,134,445,0.1971076050357379,0.32967361111111115,0.33016907284404695
asz9nphy,18.45775832841371,0.14064551077380616,"[64,64,64]",0.1020832732805606,132,77,0.11320160955996551,0.3318819444444446,0.33116704177416717
asz9nphy,13.168114783317373,0.5921568615914725,[32],0.014244344,121,383,0.3747857281162268,0.3320902777777779,0.3321617170774553
asz9nphy,5.290633157906124,0.8494094982484635,[128],0.5186438663898684,92,303,0.33114781759006157,0.3350902777777779,0.3361266948454741
asz9nphy,13.556514716736269,0.29629700669772235,"[16,16]",0.227799392,94,12,0.12798095622012248,0.32339583333333344,0.32280781687434823
asz9nphy,17.99713303674309,0.5494902652161179,"[32,32]",0.48266478039376814,92,58,0.10822070609526126,0.34243750000000006,0.34250974364604503
asz9nphy,3.183722995611776,0.5047813846448783,"[32,32,32]",0.10209690824948232,109,143,0.5084368022239428,0.32906250000000015,0.3281714881703904
asz9nphy,15.414974046012585,0.5479174964491804,[32],0.5183433520717421,128,241,0.057841024970145344,0.3397708333333334,0.336685514
asz9nphy,2.366958152290623,0.7623638476819526,[64],0.3907871291131088,126,143,0.469101533,0.33802083333333344,0.3379222704067631
asz9nphy,5.223511289129945,0.4385086711481685,[64],0.26218853611466875,121,155,0.14786169579201797,0.3272291666666667,0.3269550419937422
asz9nphy,19.816690836799477,0.5542937914563577,"[16,16,16]",0.30225576228904394,123,217,0.2882347956384073,0.3260208333333335,0.3270944721963003
asz9nphy,13.538241480762853,0.28904131811380607,"[64,64,64]",0.5008781802285062,135,231,0.052309825670247424,0.33884027777777787,0.3366361091288357
asz9nphy,12.18227295130464,0.8685803085807928,"[32,32]",0.49989073320676825,112,388,0.4508483499144637,0.3458472222222224,0.3500878300488556
asz9nphy,1.8485742019599007,0.6237876864693792,"[128,128,128]",0.3924554311198543,110,137,0.14687543341638976,0.34068750000000014,0.3414310808585389
asz9nphy,2.390058759823942,0.6907596069103726,"[16,16,16]",0.016703959472775774,96,361,0.11063885458683684,0.3325625000000001,0.3290432014052809
asz9nphy,19.897741526241234,0.5981470377566631,"[128,128]",0.30650440118673034,110,133,0.539344741,0.3423055555555557,0.3433847505077676
asz9nphy,11.508093837917428,0.7229995500048051,"[16,16,16]",0.20275652869325517,137,121,0.1642829624001261,0.34779166666666683,0.3487983751440964
asz9nphy,9.282692550671255,0.36783847909956846,"[64,64,64]",0.14738287989537543,109,222,0.16709296867543735,0.3333819444444445,0.3313783828292255
asz9nphy,4.396462767414408,0.9023841624891832,"[64,64]",0.2854613672865188,100,153,0.035241954,0.34511111111111115,0.34256244167535826
asz9nphy,11.181882370340292,0.068020777,[128],0.25092972195544594,136,418,0.23553717934480245,0.32072916666666673,0.3158121534830104
asz9nphy,12.591833630230418,0.6121527850641035,"[128,128,128]",0.1256164029661797,103,396,0.12312114089379536,0.3317708333333334,0.3298353186583961
asz9nphy,16.898022560408304,0.2382947863471796,[128],0.080628062,124,339,0.2975046282671581,0.33972916666666686,0.33915738046879307
asz9nphy,1.021117303503594,0.48322081133261696,"[32,32]",0.005518531,95,320,0.3641410528039621,0.34668750000000015,0.3454970631827415
asz9nphy,8.610792623223011,0.5209577485519845,"[64,64,64]",0.3374076870796962,98,318,0.2702887832682562,0.3281875000000001,0.32923587857495756
asz9nphy,3.415929098110415,0.7058220250209913,"[32,32]",0.3549468291175293,106,110,0.47413410394729577,0.3267708333333335,0.3237662622824834
asz9nphy,8.149245957293694,0.7400780017516507,"[32,32,32]",0.44656896032029847,102,314,0.2831569949041895,0.3084652777777778,0.30456990722951094
asz9nphy,10.115926499613042,0.3051913095299699,"[64,64]",0.18412190738852535,138,305,0.035294767357971414,0.3267847222222222,0.3212911017181754
asz9nphy,15.150869029803427,0.6511955849329163,[32],0.032275432732632274,116,74,0.3457899079522737,0.3402916666666668,0.34141186803535173
asz9nphy,1.1644764492528643,0.8091862101741073,"[64,64]",0.4626426486455488,134,139,0.24380899474978224,0.3307986111111112,0.3302053027391998
asz9nphy,17.05225785304457,0.19429703078219973,[64],0.477449956,136,155,0.14920846248392508,0.3320833333333335,0.3321512872591537
asz9nphy,6.879220814730789,0.5652326772892013,[32],0.001149925,126,134,0.3810702350449384,0.4063402777777778,0.4051677004995333
asz9nphy,5.200740962404283,0.020203000217162512,"[64,64,64]",0.020879526,93,13,0.3083853921488473,0.34473611111111124,0.3460800351320196
asz9nphy,16.22328541376117,0.3275274127504846,[64],0.2896738957686258,115,476,0.010509130297984608,0.6774444444444444,0.6624208157215787
asz9nphy,17.13879263074639,0.5736869893190272,[32],0.46073460847006414,105,390,0.18861861496043808,0.3308333333333334,0.3300746555415273
asz9nphy,15.270235559547928,0.4705121689705132,"[64,64,64]",0.025720742810291734,114,400,0.2483120133116714,0.3539861111111112,0.3568403139924248
asz9nphy,16.149255699647885,0.4721991184290388,"[32,32]",0.3747658622831073,107,428,0.3233164073502421,0.3362430555555557,0.33594225174287773
asz9nphy,5.783191251897003,0.9108266265416576,[16],0.17649908554783347,120,455,0.3444442259312636,0.33568750000000025,0.33578360871713253
asz9nphy,21.123190963121427,0.43288915044519066,"[64,64,64]",0.5193475473165473,93,185,0.16802383115471772,0.332013889,0.33254816929241926
asz9nphy,14.683083424113155,0.44813110388089106,"[64,64,64]",0.3624120315133312,130,147,0.27045262902092293,0.34475000000000017,0.3477153208541474
asz9nphy,14.611438620211551,0.95150825,"[128,128]",0.25876637933203517,93,347,0.23125491270580725,0.34609722222222233,0.3472487237196027
asz9nphy,18.035069086756472,0.054143882,[32],0.29937654215621856,105,496,0.088367911,0.3188055555555556,0.3149069550419938
asz9nphy,10.55185523316255,0.5134761908169472,"[32,32,32]",0.4384317097884859,106,306,0.23892120125511015,0.33093750000000016,0.32994730197068683
asz9nphy,6.804889779649513,0.8152312477580006,"[32,32]",0.2000743303600914,113,269,0.19563157058926336,0.3345625000000001,0.3336454959653073
asz9nphy,1.1871497472864507,0.501705853,"[16,16]",0.28588913399570537,102,297,0.10326857168168949,0.3351180555555557,0.3360202009112369
asz9nphy,8.448731614782762,0.3530675126967517,"[128,128]",0.454892101,108,77,0.16515461393081088,0.3417986111111112,0.3409342921447001
asz9nphy,18.48510306,0.26583983100814446,"[16,16,16]",0.10030744112647072,95,48,0.10980283528166047,0.33843750000000017,0.33780205302739214
asz9nphy,21.12052843903321,0.5923293890424018,"[64,64]",0.2527562485104792,100,500,0.16635968872831222,0.3310972222222223,0.3305906570785531
asz9nphy,1.8260679699919165,0.402013591,[64],0.4333498978806476,125,299,0.17111616168749194,0.3290833333333335,0.3281934456826043
asz9nphy,4.067234648912936,0.6015556585410367,"[64,64]",0.067996678,135,247,0.432846878,0.3353541666666668,0.33645221496404476
asz9nphy,15.7563671,0.739147266,"[128,128,128]",0.43017290895261934,114,130,0.5264077825099476,0.3326666666666668,0.33180655431739603
asz9nphy,11.689908546077092,0.2034975323031516,"[16,16]",0.17036457974669936,118,347,0.12431325654426684,0.34333333333333343,0.3443003787670859
asz9nphy,11.98598996,0.7721768806153524,"[16,16]",0.21455891931092388,137,452,0.17428554298606458,0.3397569444444446,0.3391848273590604
asz9nphy,17.601480354818392,0.8173490576545596,"[64,64,64]",0.5017021114447116,124,421,0.2623323114814863,0.340138889,0.33885491573804705
asz9nphy,10.259804854737624,0.11905127239671956,"[16,16]",0.013810700476575384,134,447,0.34567593350637754,0.3401666666666668,0.34180600537959066
asz9nphy,12.820275299600365,0.5887519321037512,[32],0.5369023100582261,93,46,0.33999693212853394,0.33006250000000015,0.33046495032112877
asz9nphy,15.976745397861006,0.5914841171507672,"[64,64,64]",0.3318842481389398,133,440,0.3243139718093671,0.3362708333333335,0.3354394247131801
asz9nphy,20.915267322395913,0.8218211127947203,"[32,32]",0.4125296452096479,101,366,0.47106057743212704,0.3233680555555556,0.3231415710599989
asz9nphy,1.5319264379119863,0.3707148554031406,"[128,128]",0.1319197087142463,94,252,0.3124533091013025,0.33873611111111124,0.3397886589449417
asz9nphy,20.25514504075801,0.000572883,"[64,64]",0.029238987241038773,129,454,0.10491921447229186,0.3386250000000001,0.3397793270022508
asz9nphy,1.7587216283247844,0.12998617164130677,[32],0.4170083363658962,114,103,0.14013150433958582,0.33597916666666683,0.33560849755722694
asz9nphy,12.91489686017118,0.6629885779338193,"[128,128,128]",0.25057834499818615,108,376,0.5432725216328596,0.3227708333333334,0.32039468628204426
asz9nphy,20.87289275606764,0.22534795684639597,"[16,16,16]",0.008644531,129,445,0.26192993476356863,0.33155555555555566,0.33026843058681465
asz9nphy,0.2618468854613116,0.13367530209066714,"[64,64]",0.3500025002650721,103,498,0.11493076118138638,0.3272569444444446,0.32662732612395023
asz9nphy,10.018446543976356,0.8058505957353344,"[16,16,16]",0.4067173721145933,117,110,0.1511893095423228,0.3284652777777778,0.32737607729044305
asz9nphy,20.54265089645072,0.7545984976393172,[16],0.16425734996154845,112,425,0.43587379783094227,0.3391458333333335,0.33950211341055075
asz9nphy,15.587965058379297,0.2854241023526137,[64],0.17579521269128356,101,177,0.4495056694575823,0.32906250000000015,0.32817423285941716
asz9nphy,13.681827382505356,0.5318884579693677,[16],0.31188652861130184,96,122,0.16392358061820883,0.3350763888888891,0.3361019926442335
asz9nphy,5.9237884841350406,0.12865703042022497,"[128,128]",0.1150116103069838,109,233,0.5304144274777174,0.33603472222222236,0.33621672064555097
asz9nphy,10.060782756362984,0.298077135,"[16,16,16]",0.4695531376650744,131,132,0.084869884,0.3241597222222223,0.322142504
asz9nphy,1.9731934857109577,0.030197945775877283,"[128,128,128]",0.097177166,135,424,0.4430533715740946,0.32704166666666673,0.3264873469835869
asz9nphy,15.465609219567936,0.4828621785699505,"[16,16]",0.2642248092327536,112,14,0.1499918578941744,0.34400000000000014,0.3452489432947249
asz9nphy,15.586168463371584,0.9932623852303876,"[64,64]",0.4283370239485274,108,404,0.2602457977133955,0.3273125000000001,0.32455234121973986
asz9nphy,18.020814024136502,0.7404257743657741,"[64,64]",0.10665333864422467,109,281,0.469237631,0.3228750000000001,0.32030630729538345
asz9nphy,14.09405864249424,0.4477581162701416,"[64,64,64]",0.15513570696863258,136,344,0.3831352862003329,0.3253541666666668,0.32481912499313836
asz9nphy,15.99796727,0.19428427003259188,"[16,16,16]",0.10796248896002518,127,123,0.3791908861536472,0.33943750000000017,0.3393297469396719
asz9nphy,13.566806363173225,0.7479110923446824,"[32,32,32]",0.052468122,126,94,0.4698812961250653,0.33568750000000025,0.33578360871713253
asz9nphy,20.603351033579308,0.8267355545347275,"[16,16]",0.050834552379489376,121,341,0.2953207480125578,0.33739583333333345,0.3405439973650987
asz9nphy,13.25886532259368,0.6447196400864789,"[64,64,64]",0.2395204563598908,122,159,0.47398103220387366,0.3414375000000001,0.3433485206126147
asz9nphy,1.3486474127637438,0.8795200719420436,[32],0.024653711,112,482,0.3205720950017673,0.3423541666666668,0.343691058
asz9nphy,2.093261829045387,0.001278472,"[128,128]",0.5027007713409537,125,156,0.4508361360230015,0.3401458333333335,0.3390838228028765
asz9nphy,15.537330579809264,0.7746424037068792,[32],0.11972079530783544,132,316,0.02300149,0.46747222222222234,0.45470823955645834
asz9nphy,3.176006630078234,0.862166222,[64],0.2104547710406626,97,166,0.30486345869907483,0.3406875000000001,0.3407937640665314
asz9nphy,7.706383750877705,0.8412896117282935,"[64,64]",0.48067038065802026,133,113,0.24924284966951848,0.3391666666666668,0.33958884558379543
asz9nphy,15.238426552801402,0.4019741376751899,"[128,128,128]",0.2375691709758454,134,165,0.08758143,0.3272500000000001,0.32549376955590936
asz9nphy,12.20881013166551,0.099928675,[64],0.10939519766299972,108,38,0.42182298098355864,0.3273333333333335,0.326314981
asz9nphy,7.277694186386239,0.2087384199071725,"[64,64,64]",0.2321452534613597,96,334,0.47625684282698194,0.3286250000000001,0.3284327825657354
asz9nphy,18.92400015581229,0.5972043743962362,"[64,64]",0.1976169509344061,113,470,0.2443743843057792,0.3277847222222223,0.32606905637591266
asz9nphy,10.066132311315508,0.7767470260867084,[32],0.18054237774770168,135,221,0.17368847527152573,0.3309861111111112,0.3301943239830928
asz9nphy,12.61540419707107,0.13728462284079732,"[128,128]",0.5389733529215648,133,225,0.098760888,0.344201389,0.347151013
asz9nphy,7.395812099028192,0.9185182463949484,[16],0.3116231140936579,112,291,0.14249562016615103,0.33867361111111116,0.3380161387714773
asz9nphy,10.928612131990754,0.7474348133905246,"[16,16,16]",0.34064964,138,487,0.32549820300532334,0.3384166666666668,0.33993302958774785
asz9nphy,6.746849885,0.447639303,"[128,128,128]",0.1780015743568965,128,139,0.070961306,0.33760416666666676,0.336504913
asz9nphy,15.687603929752305,0.6009750545078617,"[64,64,64]",0.5040145235629555,123,117,0.064826886,0.33745138888888887,0.3338315858813196
asz9nphy,18.04652766,0.8201173769769761,[32],0.16338850856003018,110,444,0.073610772,0.3427291666666666,0.34047153757479287
asz9nphy,20.785645303153093,0.9947416473521768,[64],0.3305186780261931,92,51,0.085193007,0.33771527777777793,0.3384465060108691
asz9nphy,4.780617589217945,0.9600904871944904,[16],0.19908351596048823,137,470,0.066743479,0.3291944444444445,0.3264505681506285
asz9nphy,18.51839746610067,0.3856941854601124,"[32,32,32]",0.173299127,94,383,0.3761378687607558,0.3273333333333334,0.32631498051270796
asz9nphy,3.458113791995893,0.19815876192117352,[32],0.10595756496426942,121,263,0.3120819481928107,0.3331041666666668,0.33154800461107775
asz9nphy,10.156982351661616,0.30219085224525105,"[16,16,16]",0.40719131524914154,116,255,0.18084797430352584,0.33906250000000004,0.3422835812702423
asz9nphy,2.694869803,0.7034352180188456,"[64,64,64]",0.4903748349789165,125,318,0.4394328090366405,0.32994444444444454,0.3276615249492234
asz9nphy,11.00691426015917,0.3642588427790203,"[32,32]",0.2278166183870191,92,29,0.12206093341354209,0.32734027777777785,0.32647966185431193
asz9nphy,4.366378692402438,0.35508382564647534,"[64,64,64]",0.1539387119549422,117,450,0.074958667,0.3376111111111112,0.33713509359389593
asz9nphy,11.70142391867336,0.897065253,"[32,32,32]",0.092728275,128,468,0.46198550537133665,0.3238750000000001,0.3226003183839271
asz9nphy,2.3109743994080687,0.1542348222146843,"[64,64,64]",0.009999206,121,20,0.5046046213263465,0.33149305555555564,0.3335757808640282
asz9nphy,9.542086899,0.423799683,"[32,32]",0.5494953583733916,107,281,0.004437274,0.39041666666666663,0.3838744030301368
asz9nphy,2.460538106027931,0.4052946167516964,"[32,32]",0.3244606366533434,132,5,0.084434445,0.33027083333333335,0.3295355986166768
asz9nphy,2.6793450761990942,0.5172299797884156,"[64,64,64]",0.4820336342660433,125,490,0.24078102307885327,0.33138888888888907,0.3298968
asz9nphy,18.44948355880141,0.6874618745949654,"[128,128,128]",0.4977142061931326,125,108,0.42491956140246623,0.33500000000000013,0.33620629082724945
asz9nphy,11.43756124339746,0.5455419711706223,"[128,128]",0.29295834084583655,121,479,0.003272639,0.6789513888888891,0.6667771861448099
asz9nphy,14.185366671820857,0.7499423322435658,"[32,32]",0.074871621,119,311,0.29687254219399073,0.3446250000000001,0.34490805291760457
asz9nphy,9.779642399109097,0.498127805,"[128,128,128]",0.3706084964640563,130,146,0.5476707511469442,0.32676388888888896,0.326672888
asz9nphy,15.226179561342354,0.5123667208178404,[128],0.33958297,117,105,0.069383237,0.33589583333333345,0.3306987978262063
asz9nphy,1.1256701782067655,0.6326802925546071,"[128,128]",0.3420344124465523,102,346,0.4078501658759736,0.32768055555555564,0.32659438985562944
asz9nphy,5.207982676903363,0.7135217336986169,"[128,128]",0.092662509,130,306,0.25037602598531034,0.3473541666666668,0.34905692485041456
asz9nphy,7.0021369811210175,0.7274747129873118,"[32,32]",0.18696755487320205,116,453,0.079772112,0.34190972222222227,0.34245100730087297
asz9nphy,12.59143567076026,0.8323335778179591,[32],0.4960849250700702,138,443,0.041491976,0.33556249999999993,0.332994456
asz9nphy,17.52244864127834,0.705800633,[128],0.1451427393532176,133,65,0.2547187523177925,0.3434583333333335,0.3455969698633147
asz9nphy,0.60719364,0.4496363604077828,[64],0.5495268553941682,114,450,0.094699698,0.3385972222222223,0.33770214634681905
asz9nphy,9.548993888103093,0.32361038641690315,"[16,16]",0.46184754181490567,93,338,0.2511864192684102,0.31725000000000003,0.31498709996157437
