Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
lmwtsfx5,19.732348346840332,0.6060688029396758,"[16,16,16]",0.4379263802844136,106,327,0.4710316638493989,0.6370370370370371,0.5925925925925927
lmwtsfx5,14.539092825174231,0.6269966234559802,[16],0.073239515,74,280,0.542475211,0.6370370370370371,0.5925925925925927
lmwtsfx5,9.737645291,0.2265037740095554,[128],0.35842057601456445,77,11,0.1477198030106646,0.3977777777777778,0.3748148148148149
lmwtsfx5,6.115405822285086,0.038729391,"[16,16,16]",0.31836326530634085,83,373,0.22304603741374096,0.6370370370370371,0.5925925925925927
lmwtsfx5,4.408045350700424,0.8218170097749292,[128],0.12244503243913708,74,223,0.049768825114199514,0.5307407407407407,0.4970370370370371
lmwtsfx5,3.902786702894071,0.3254765124543188,"[32,32]",0.001960222,101,111,0.2065944601261445,0.6370370370370371,0.5925925925925927
lmwtsfx5,19.71166206915354,0.8417426692905157,"[128,128]",0.30917293723274125,84,260,0.2987623745089081,0.5585185185185185,0.5307407407407407
lmwtsfx5,11.904404055292096,0.7357972764629872,"[64,64,64]",0.3052000450711168,104,84,0.148183207,0.5407407407407407,0.5137037037037038
lmwtsfx5,7.424593177127708,0.034163705,[64],0.5074922423379877,86,390,0.07475279,0.4459259259259259,0.4255555555555556
lmwtsfx5,14.380412093712826,0.33307573178960415,"[32,32,32]",0.5442140457869706,83,244,0.058687352,0.6266666666666666,0.5859259259259261
lmwtsfx5,4.162232669813338,0.3874502662120751,"[16,16,16]",0.4776818484914169,79,303,0.5125992701324454,0.6370370370370371,0.5925925925925927
lmwtsfx5,8.400441747,0.9538824594200196,"[32,32]",0.5394147565667836,98,175,0.24825289516035737,0.5481481481481482,0.5125925925925926
lmwtsfx5,6.7333637840231555,0.5965582379332051,"[16,16,16]",0.1263569170321049,89,115,0.4092313225942203,0.6370370370370371,0.5925925925925927
lmwtsfx5,2.0567939364607852,0.17305372839130717,[32],0.20404499665000825,90,75,0.5451983585102753,0.6370370370370371,0.5925925925925927
lmwtsfx5,15.030379540022176,0.7127476054223713,[64],0.4181332356293595,104,326,0.180257558,0.45148148148148143,0.45185185185185184
lmwtsfx5,1.770783501441499,0.005636968,"[64,64]",0.2715522096085219,105,131,0.5316978234149002,0.6370370370370371,0.5925925925925927
lmwtsfx5,8.919433268,0.613918822,"[32,32]",0.31440361863313426,98,296,0.5003459627098923,0.6370370370370371,0.5925925925925927
lmwtsfx5,4.261524576136568,0.10253083279025696,"[64,64]",0.1039492877726222,79,16,0.3055000394035444,0.6370370370370371,0.5925925925925927
lmwtsfx5,12.834420393161572,0.17986178894911314,"[32,32]",0.3687504095790669,72,281,0.23119477019811543,0.6370370370370371,0.5925925925925927
lmwtsfx5,18.34872463706955,0.099962294,"[128,128,128]",0.3435911849014541,79,329,0.04534652,0.5577777777777778,0.531851852
lmwtsfx5,17.357223822898884,0.017679018497263135,"[64,64,64]",0.34634836991576984,86,94,0.49562316183091726,0.5977777777777777,0.5596296296296297
lmwtsfx5,9.407455711448096,0.7337187368711611,[16],0.017253156806828495,87,396,0.5518074629787725,0.6370370370370371,0.5925925925925927
lmwtsfx5,6.062120615712301,0.6841170332682365,"[128,128,128]",0.093157779,93,383,0.030881629,0.6370370370370371,0.5925925925925927
