Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
638duu5i,17.238263012328684,0.236535639,"[128,128]",0.092486123,132,52,0.051730878,0.4891891891891893,0.5237837837837838
638duu5i,15.243493562371992,0.6228229762402789,"[16,16]",0.099440723,124,60,0.363812994,0.502972973,0.5405405405405405
638duu5i,11.703559567540228,0.01948773,[32],0.073467153,162,457,0.45462380004504216,0.502972973,0.5405405405405405
638duu5i,14.89327067022182,0.23410796208833448,"[32,32]",0.3509971160532031,130,193,0.2293759757157634,0.502972973,0.5405405405405405
638duu5i,1.1563928323937134,0.38463868831592113,[128],0.069126178,162,209,0.38478731822659834,0.502972973,0.5405405405405405
638duu5i,10.387067188927052,0.5573785844745517,"[128,128,128]",0.3984507252582824,115,109,0.4378226704367049,0.4900000000000001,0.5324324324324323
638duu5i,9.423805350757553,0.32063053319558604,"[128,128]",0.548739105,112,458,0.091742672,0.4632432432432433,0.4943243243243242
638duu5i,18.728463070639148,0.3158669676562539,[16],0.1426191329562352,130,303,0.1676811480460481,0.5181081081081081,0.538108108
638duu5i,8.541314462012684,0.551614892,"[16,16]",0.2777396412202001,110,53,0.03479227,0.4975675675675677,0.537027027
638duu5i,16.611016256831583,0.8737022941229085,[16],0.28346340044648927,151,457,0.5418442956114672,0.4851351351351352,0.5267567567567566
638duu5i,11.658031565500895,0.4787583253673965,"[16,16]",0.34820770173748394,154,213,0.443724535,0.502972973,0.5405405405405405
638duu5i,18.240802521205342,0.43061611529145793,"[32,32]",0.5038774992410963,136,120,0.36585406224257977,0.502972973,0.5405405405405405
638duu5i,18.725225452161443,0.6886942765397791,[64],0.047430634,118,214,0.27008532914379424,0.5043243243243244,0.5408108108108106
638duu5i,16.99718444353116,0.9470991391542424,[32],0.11341001450051803,135,221,0.2102441823968942,0.49621621621621625,0.5337837837837838
638duu5i,2.9271356217949736,0.15814871590389065,[64],0.013436402801807752,155,271,0.1931012298475603,0.5651351351351351,0.5381081081081082
638duu5i,1.307957509516079,0.8206725919102819,"[64,64]",0.5501563692021055,130,500,0.033698547940341675,0.5002702702702704,0.5359459459459458
638duu5i,17.87465459,0.8475178794337631,"[16,16]",0.11641209860990025,116,283,0.4153922133649341,0.502972973,0.5405405405405405
638duu5i,0.5320064198401586,0.3258656540118746,[128],0.39006773181455784,133,144,0.07662598,0.4386486486486486,0.4491891891891892
638duu5i,4.422997798205186,0.3841570888077739,[64],0.006587825,131,128,0.2601577585543733,0.515945946,0.5362162162162162
638duu5i,16.692622551100015,0.9522070754429351,"[16,16]",0.1657834,156,330,0.022530253,0.4967567567567569,0.5356756756756755
638duu5i,2.1084431422960814,0.7807615885670892,"[128,128,128]",0.5417258839052415,161,408,0.3540190494133635,0.4710810810810811,0.5105405405405404
638duu5i,11.071271312396656,0.3279545403009418,"[128,128,128]",0.019071185,136,398,0.16762770122173887,0.502972973,0.5405405405405405
638duu5i,16.558385393997927,0.781540093,"[64,64,64]",0.13124204108961512,127,281,0.199649791,0.502972973,0.5405405405405405
638duu5i,10.838590415774432,0.6937932705808073,"[32,32]",0.459963364,160,27,0.13889203608034714,0.502972973,0.541081081
638duu5i,16.622605510165407,0.6462803040730514,"[128,128]",0.42351821764270586,135,105,0.3994125609380479,0.4975675675675677,0.535135135
638duu5i,3.2109322878088533,0.023367352644443912,"[32,32,32]",0.3282662598226601,150,263,0.2944673482102034,0.502972973,0.5405405405405405
638duu5i,16.828543119740957,0.078418443,"[16,16,16]",0.20544059193305889,141,302,0.3772490015010723,0.502972973,0.5405405405405405
638duu5i,18.05728611602711,0.6067493613579212,"[16,16]",0.32752697730534797,130,100,0.37781500991383526,0.502972973,0.5405405405405405
638duu5i,14.570467781806135,0.9766417030885344,"[128,128]",0.49531487402539703,160,350,0.4920629908852579,0.3648648648648649,0.39108108108108114
638duu5i,18.79569624059072,0.7219129490898465,"[64,64]",0.21937080498773312,122,32,0.32090667594131467,0.502972973,0.5405405405405405
638duu5i,18.70753207497201,0.056223976,"[32,32,32]",0.054693128,114,24,0.207431207,0.502972973,0.5405405405405405
638duu5i,3.967440291727067,0.579953919,[32],0.2846260610264497,161,444,0.3037461390543927,0.4956756756756757,0.5348648648648647
638duu5i,9.680225008513016,0.48537220341431814,"[128,128]",0.2666158114375863,160,143,0.4106163255249692,0.502972973,0.5408108108108106
638duu5i,14.022192101444528,0.5681271714324894,"[32,32,32]",0.3687849141346934,119,113,0.5367854480660007,0.502972973,0.5405405405405405
638duu5i,4.097377491787827,0.6761617297887976,[32],0.01327688,149,291,0.4031476364827384,0.502972973,0.5405405405405405
638duu5i,13.722582945839752,0.5924226385426707,"[32,32]",0.23948427999328295,122,150,0.33429874403104426,0.502972973,0.5405405405405405
638duu5i,15.182154868970011,0.7236881418158229,"[16,16,16]",0.3799369434082234,147,245,0.3320714578566344,0.502972973,0.5405405405405405
638duu5i,17.562402511485573,0.14501488491701164,"[128,128]",0.4165915208583773,117,276,0.3896653219177973,0.502972973,0.5408108108108106
638duu5i,4.869151433386936,0.052916777,[16],0.4239213765616201,131,65,0.4476841396278333,0.502972973,0.5405405405405405
638duu5i,5.906682049413103,0.557439843,[128],0.025801091202751796,160,395,0.084582836,0.5616216216216217,0.5629729729729729
638duu5i,19.23775829123169,0.7479980751990505,"[16,16,16]",0.23382097011871017,152,327,0.4786309049876822,0.502972973,0.5405405405405405
638duu5i,5.058207359780083,0.5350224908704271,[64],0.3781753099252812,119,141,0.19963938802355968,0.5064864864864865,0.5332432432432431
638duu5i,0.4156802736150191,0.3837186029447713,[64],0.36621918107651313,111,257,0.31066340367594886,0.5045945945945948,0.5402702702702702
638duu5i,13.298097265499168,0.6930522130817748,"[16,16,16]",0.045034112973809694,145,316,0.3308998019763102,0.502972973,0.5405405405405405
638duu5i,18.23415690252004,0.24211483241749393,"[16,16,16]",0.32311318707895076,147,320,0.28987805678007816,0.502972973,0.5405405405405405
638duu5i,4.469082994190898,0.11171920963328344,"[16,16,16]",0.24871486775230445,108,451,0.2212462032813228,0.502972973,0.5405405405405405
638duu5i,13.17515834968787,0.7180655203950426,"[128,128,128]",0.5207043302606417,158,302,0.38319111030642583,0.4845945945945947,0.5191891891891891
638duu5i,20.441185063447744,0.49373555215064496,[16],0.057509378,156,456,0.14941400204069655,0.544054054,0.5456756756756755
638duu5i,18.524343045265145,0.7594259381572385,"[32,32]",0.22836659092515815,161,151,0.1168498257821044,0.502972973,0.541081081
638duu5i,9.826157706086468,0.41132611430658167,"[32,32,32]",0.28431718197774997,143,56,0.097148947,0.502972973,0.541081081
638duu5i,15.215822411565924,0.2717566894135349,"[16,16,16]",0.10944699358805196,116,458,0.089893659,0.502972973,0.5405405405405405
638duu5i,19.563878591489853,0.5834776761219748,[128],0.5350778063745482,153,189,0.5192509047781139,0.4283783783783784,0.4459459459459459
638duu5i,4.954338505409978,0.16152007974643698,[32],0.4685628108818936,147,250,0.5240775540082141,0.502972973,0.5405405405405405
638duu5i,13.26836730945867,0.3329453047878995,"[32,32,32]",0.109926464,130,193,0.056919431,0.502972973,0.5429729729729729
638duu5i,19.985784540990142,0.44474203201138984,[64],0.4779807439538693,145,5,0.083615775,0.46108108108108115,0.4854054054054054
638duu5i,15.585877168997678,0.098192559,"[128,128,128]",0.1591441387749375,160,353,0.025270076,0.4602702702702704,0.49324324324324315
638duu5i,3.883455492800637,0.5753725962465368,"[32,32,32]",0.5381461111960688,155,126,0.4664861425651931,0.502972973,0.5408108108108106
638duu5i,20.32735931,0.3110468469696623,[16],0.19928606549606676,132,47,0.081582691,0.5100000000000001,0.5321621621621621
638duu5i,18.153621605503197,0.005881954,[64],0.30540829290159616,112,419,0.15032755350306715,0.5291891891891892,0.5405405405405405
638duu5i,2.427568128879903,0.5902621550324557,"[32,32,32]",0.079818167,161,378,0.31635020001726427,0.502972973,0.5405405405405405
638duu5i,9.200029832370236,0.8182290286096294,[32],0.20877146362398652,135,238,0.32192704745341827,0.493783784,0.5294594594594594
638duu5i,19.536928453205057,0.28602402031282215,"[64,64]",0.2734838392562954,125,275,0.5082392593483237,0.502972973,0.5405405405405405
638duu5i,0.5763428963927202,0.606095085,[32],0.33472486931906065,120,139,0.018408328258192268,0.4786486486486487,0.514054054
638duu5i,16.78711557690749,0.10029891268950156,[128],0.048227060952180614,150,52,0.17986606227460017,0.5518918918918919,0.5459459459459458
638duu5i,15.354043520559992,0.068600822,"[32,32,32]",0.37987766022165015,125,248,0.11727340423067312,0.5010810810810812,0.5435135135135133
638duu5i,0.8581500264044224,0.8112326515675441,[128],0.2412728172263534,157,423,0.24255513183265992,0.49459459459459465,0.5213513513513512
638duu5i,13.04510567635984,0.3501484824219849,"[16,16]",0.23567929531232784,161,76,0.17798805512379234,0.502972973,0.5405405405405405
638duu5i,6.452783427639329,0.7623232095952187,[128],0.17936488720686172,110,350,0.5378580632717089,0.502972973,0.5408108108108106
638duu5i,19.143015305699244,0.8258034327762005,"[128,128,128]",0.37196903498176814,139,164,0.083098219,0.502972973,0.5405405405405405
638duu5i,17.67585874168643,0.9392588296894728,"[64,64]",0.15562053548231708,127,200,0.5028529361059552,0.502972973,0.5405405405405405
638duu5i,3.5659692885611696,0.9656485635598412,[16],0.4982689017658178,123,295,0.5239678696853977,0.42297297297297304,0.4654054054054053
638duu5i,1.272042905608228,0.1923493600403531,[64],0.1034265865711699,146,381,0.44756785548336303,0.502972973,0.5405405405405405
638duu5i,7.241370908085906,0.12132981245343712,[32],0.2190621793475741,108,244,0.35038757359049516,0.502972973,0.5405405405405405
638duu5i,7.779561104446579,0.8273482708260771,"[64,64,64]",0.23784419302936136,135,55,0.3212430792999667,0.502972973,0.5405405405405405
638duu5i,20.95594039,0.7756851950118143,"[32,32]",0.055057511,116,264,0.3614843396930499,0.502972973,0.5405405405405405
638duu5i,11.712798517894605,0.24891625547893773,[32],0.19540658256711935,125,495,0.18740879002581176,0.5264864864864865,0.5394594594594594
638duu5i,3.698335333939664,0.024862607872438644,"[32,32]",0.097667716,158,189,0.14721466340573808,0.502972973,0.5405405405405405
