Sweep,C+,dropout,layers,learning_rate,loops,tau,weight_decay,mean accuracy,mean test accuracy
rzl7or1x,8.541113129208323,0.970969781,"[16,16]",0.1626968914091515,135,139,0.4751733811929056,0.502972973,0.5405405405405405
rzl7or1x,16.818090481335055,0.5979306076743118,[16],0.059404289,152,334,0.023911758466744384,0.5318918918918919,0.5556756756756757
rzl7or1x,21.090539336250604,0.729153336,"[128,128]",0.20766683892044088,116,236,0.5485116758370339,0.5010810810810812,0.5375675675675674
rzl7or1x,1.5420455681087064,0.076896082,"[64,64,64]",0.098128947,155,199,0.5058559608222107,0.502972973,0.5405405405405405
rzl7or1x,13.828550555773964,0.11495027840073196,"[64,64]",0.4708593785648196,108,203,0.1940187811854713,0.4910810810810812,0.5283783783783783
rzl7or1x,8.526230893569423,0.16145463310703484,[32],0.5387584311828886,154,425,0.4615845803519179,0.502972973,0.5405405405405405
rzl7or1x,13.051552330376875,0.077890364,"[128,128]",0.44757323013451294,119,302,0.3906834954337908,0.4943243243243245,0.5329729729729729
rzl7or1x,10.00150762,0.2175330932131805,"[16,16]",0.30503359300942084,139,113,0.087644108,0.49972972972972984,0.5532432432432431
rzl7or1x,17.12302961876833,0.9936850592636076,"[128,128,128]",0.24938712955525244,120,31,0.2725829572575669,0.3018918918918919,0.29864864864864865
rzl7or1x,10.179595430845485,0.93543018,[16],0.079366656,133,124,0.23427976200663708,0.5043243243243244,0.5448648648648647
rzl7or1x,9.445973957602904,0.4684735763856894,"[64,64]",0.3350856178953518,129,127,0.4930239601884011,0.502972973,0.5405405405405405
rzl7or1x,17.480143200632302,0.3195156400049916,[32],0.046546632,120,270,0.3693529683957639,0.5032432432432433,0.5405405405405405
rzl7or1x,15.507844316838495,0.29153164075659826,"[32,32,32]",0.4919811150469174,125,79,0.5076228275734881,0.502972973,0.5405405405405405
rzl7or1x,13.029202292671089,0.5985168794634785,"[64,64]",0.5036419464245694,122,50,0.075131998,0.4827027027027029,0.5251351351351351
rzl7or1x,20.31577047898602,0.3803248177461964,"[32,32,32]",0.5265098755088419,122,228,0.10873400238773576,0.5005405405405406,0.5454054054054054
rzl7or1x,8.899867008263566,0.9207088572336334,"[128,128]",0.3506271196723098,140,284,0.5344905695857685,0.502972973,0.5405405405405405
rzl7or1x,0.6385995899225734,0.8243421995763484,[64],0.4680301863161962,114,97,0.14820459703471398,0.425945946,0.46
rzl7or1x,19.656647832826035,0.01153045,"[128,128,128]",0.2872477991649555,139,275,0.4448249132932768,0.502972973,0.5413513513513513
rzl7or1x,10.91902929090234,0.6433995270408505,[32],0.37784457633098273,108,26,0.3856320222879451,0.5027027027027028,0.5424324324324323
rzl7or1x,12.037393040229356,0.4108937729605713,"[64,64]",0.14519090475654023,122,91,0.38731541098388506,0.502972973,0.5405405405405405
rzl7or1x,1.0914197594870576,0.8895881535710062,[32],0.19443234816392965,119,277,0.3809562772616626,0.4832432432432433,0.528108108
rzl7or1x,14.023663025645789,0.6718638297104086,"[16,16]",0.2758726298679949,118,310,0.2032742848068337,0.502972973,0.5405405405405405
rzl7or1x,18.970966249837996,0.24081343176646952,"[16,16]",0.2857053069370958,131,128,0.4779537977485332,0.502972973,0.5405405405405405
rzl7or1x,3.873774361337317,0.987775457,"[16,16]",0.1652320419295891,163,173,0.4520264920524505,0.502972973,0.5408108108108106
rzl7or1x,17.269781443073256,0.3221876438649178,"[32,32,32]",0.116611851,124,156,0.46148209820901775,0.502972973,0.5405405405405405
rzl7or1x,12.390330826546183,0.6113393499353833,[16],0.17490249457934662,143,341,0.338429054,0.503783784,0.545135135
rzl7or1x,11.19778569956626,0.4501189264064071,[16],0.17051272827297373,123,369,0.3185654593140544,0.501891892,0.5429729729729729
rzl7or1x,6.868679608060956,0.9408576922420864,[64],0.5040159469699119,153,413,0.10305165851479442,0.44810810810810814,0.485945946
rzl7or1x,2.222687006155361,0.7460091029367847,"[128,128]",0.47804018135929327,148,362,0.001914543,0.48054054054054063,0.515135135
rzl7or1x,11.20264207450314,0.1854324767430899,"[32,32]",0.16752213765211105,157,48,0.27722755212820077,0.502972973,0.5405405405405405
rzl7or1x,5.9905085068879576,0.7769333497826253,[16],0.020932658964489283,157,47,0.4558394939124491,0.502972973,0.5405405405405405
rzl7or1x,10.184101381001197,0.4400065278857331,"[32,32]",0.4330286942552745,157,422,0.28302428451525824,0.502972973,0.5405405405405405
rzl7or1x,20.855605463799737,0.6168358271572216,"[16,16]",0.13561494084208284,108,180,0.009991768,0.4905405405405406,0.5375675675675674
rzl7or1x,15.783265826059262,0.8670830992451105,[128],0.3953043758942002,142,488,0.4131507664427204,0.40135135135135136,0.4272972972972973
rzl7or1x,5.280341849402974,0.086625485,"[128,128,128]",0.048605393,140,362,0.13738081487084117,0.502972973,0.5405405405405405
rzl7or1x,7.5266086892243536,0.2625577409946407,[32],0.5501371403476653,143,294,0.3018229321272834,0.5056756756756758,0.5432432432432431
rzl7or1x,15.563379019941724,0.8231882531991066,"[16,16]",0.4325746582745588,140,488,0.16807468718622434,0.501891892,0.5405405405405405
rzl7or1x,18.689917172255203,0.30009320805283535,"[64,64,64]",0.37507192952585067,108,370,0.45268653005472126,0.502972973,0.5405405405405405
rzl7or1x,14.256977082027207,0.5950495640768767,"[128,128,128]",0.3646076337093798,145,461,0.22166116393442936,0.5005405405405408,0.5389189189189189
rzl7or1x,12.406361090404587,0.5374043159984646,"[64,64]",0.2067688608067061,124,72,0.4352643135211068,0.502972973,0.5405405405405405
rzl7or1x,18.565690926063063,0.7073113213223587,"[64,64]",0.48434358836555513,136,101,0.26346664052728574,0.502972973,0.5405405405405405
rzl7or1x,20.457329917050615,0.27158499913070927,[16],0.22547987631243752,156,476,0.21045808327915855,0.5137837837837838,0.5464864864864863
rzl7or1x,2.338248084524403,0.3898787307841309,[64],0.4452979067564332,129,281,0.46959096370320674,0.502972973,0.5405405405405405
rzl7or1x,10.621213210680116,0.059466093,"[64,64,64]",0.3174741009948107,127,4,0.41641024715902286,0.502972973,0.5405405405405405
rzl7or1x,7.21706112,0.4449966295934096,"[32,32]",0.21912478033633517,131,54,0.300547244,0.502972973,0.5405405405405405
rzl7or1x,14.999368466356364,0.49676149857622737,"[64,64]",0.1783869359841008,153,295,0.5311065477636134,0.502972973,0.5405405405405405
rzl7or1x,1.9089138050840908,0.5845628807056082,"[128,128,128]",0.49838812960308226,159,459,0.089030704,0.4881081081081083,0.5213513513513512
rzl7or1x,7.504979740069279,0.9607856886194448,"[128,128]",0.4999961460461049,109,475,0.2497441196949651,0.35621621621621635,0.3578378378378379
rzl7or1x,15.678737637578951,0.010561539617994232,[64],0.3580621235540584,157,409,0.16861974756478457,0.5213513513513515,0.5556756756756757
rzl7or1x,21.080334643801972,0.34642182444804315,"[128,128]",0.34537513860309393,160,469,0.3788473605008338,0.502972973,0.5405405405405405
rzl7or1x,15.290498284420249,0.47073350703312494,[128],0.34189431625251426,140,199,0.061501043436678664,0.4627027027027028,0.4935135135135134
rzl7or1x,6.617515121432965,0.26986189095284985,"[128,128,128]",0.4572710952245862,160,126,0.2115161927732369,0.43297297297297305,0.46702702702702686
rzl7or1x,14.78440110238746,0.066832294,[128],0.021413943923621673,128,115,0.4430449845676194,0.502972973,0.5405405405405405
rzl7or1x,5.689325511,0.9192444287333544,"[32,32,32]",0.47040479763014514,145,369,0.32356552970045727,0.4959459459459461,0.5348648648648647
rzl7or1x,8.543269251686661,0.7937358256385537,"[128,128,128]",0.2653593134768276,146,175,0.5105995844235881,0.502972973,0.5405405405405405
rzl7or1x,19.63517374531296,0.9144345271332042,"[32,32]",0.088037619,113,401,0.2848811994759267,0.502972973,0.5405405405405405
rzl7or1x,2.9960671019552176,0.17189707105924634,[16],0.5136042324326962,130,490,0.008466045,0.4908108108108109,0.528108108
rzl7or1x,14.192856131859678,0.7748293102927934,[64],0.2209200199949586,128,342,0.3781820655546752,0.5002702702702703,0.541081081
rzl7or1x,9.430563524641393,0.9281264081696172,[128],0.12222365041925566,160,334,0.095409268,0.4962162162162162,0.5248648648648648
rzl7or1x,18.52447698231373,0.6956301797792461,[128],0.4355768396325331,109,135,0.042728313,0.42567567567567566,0.4454054054054054
rzl7or1x,19.22018063147663,0.29091929942362776,"[128,128,128]",0.4034162583633082,161,189,0.027496573348441744,0.485945946,0.5299999999999999
rzl7or1x,16.227548190294932,0.24738662289391752,"[16,16]",0.488158006,151,418,0.070771684,0.4943243243243245,0.5429729729729729
rzl7or1x,8.530179951,0.7441404185169554,"[16,16,16]",0.38879539024733784,148,131,0.28186153826793237,0.502972973,0.5405405405405405
rzl7or1x,11.447070787944586,0.5716763470408573,"[32,32]",0.4942904588444136,117,133,0.13507530032475282,0.49891891891891904,0.5421621621621621
rzl7or1x,17.18001715579461,0.32549638308905854,"[32,32]",0.30178844194886073,108,226,0.45416213494488794,0.502972973,0.5405405405405405
rzl7or1x,14.780352050483366,0.29226290467623317,"[128,128]",0.40455251658386215,153,498,0.2998458320152715,0.49135135135135144,0.528108108
rzl7or1x,9.548576034444828,0.045108388981742464,[64],0.4724935326243906,141,365,0.39036234082700905,0.502972973,0.5405405405405405
rzl7or1x,15.551031488720746,0.945289909,"[128,128]",0.3505827205319123,163,482,0.4652792,0.4983783783783785,0.5378378378378378
rzl7or1x,4.2407899033550835,0.44231555860205646,"[128,128]",0.2025475094111429,136,28,0.058692174,0.471891892,0.5172972972972972
rzl7or1x,2.418097110362729,0.8910132895869959,"[64,64]",0.11567027768194812,128,430,0.5009875671836311,0.502972973,0.5405405405405405
rzl7or1x,11.40633606203522,0.5847461802245743,"[64,64,64]",0.3598729643336871,140,305,0.19343978680145135,0.502972973,0.5416216216216214
rzl7or1x,7.154693217,0.5529639231841422,"[32,32,32]",0.2294736684306304,139,264,0.36246383382890496,0.502972973,0.5405405405405405
rzl7or1x,19.300207796718297,0.034292888,[32],0.3713551929327806,161,210,0.5359680052658141,0.502972973,0.5405405405405405
rzl7or1x,10.876857600727805,0.3478456429308015,"[64,64,64]",0.12999557761858122,158,200,0.12138720346492124,0.502972973,0.5408108108108106
rzl7or1x,19.597906841259373,0.6376006310738744,"[16,16,16]",0.24101756472163705,143,195,0.10906079439993167,0.502972973,0.5405405405405405
rzl7or1x,19.619150194966547,0.5715244925117118,[128],0.36646280127667646,149,376,0.3016575149537498,0.46027027027027023,0.49918918918918903
rzl7or1x,1.3531036897628057,0.018503697,"[32,32]",0.36081305879262926,110,381,0.15081213826406745,0.5005405405405406,0.5443243243243242
rzl7or1x,8.436533836254894,0.9639814013936296,"[64,64,64]",0.2544192879201243,132,104,0.1250653277415171,0.4540540540540541,0.4875675675675674
rzl7or1x,3.695315629365595,0.7176360142939722,"[64,64]",0.5503987040032451,110,460,0.3135010155007407,0.502972973,0.5405405405405405
rzl7or1x,0.9776334681146904,0.3371557076485176,"[32,32,32]",0.2622866515835355,112,36,0.20346219901177823,0.502972973,0.5405405405405405
rzl7or1x,20.403272475918936,0.7279198161013714,"[128,128]",0.44211798271709246,151,168,0.33072296075489493,0.502972973,0.5405405405405405
rzl7or1x,7.2097006570029425,0.8018950241191929,"[32,32,32]",0.16540658579751089,154,421,0.24799060826456623,0.502972973,0.5405405405405405
rzl7or1x,11.600019772799778,0.6541022783969647,"[64,64,64]",0.27732399378919137,114,304,0.023566975,0.4994594594594596,0.5432432432432431
